raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.075,0.925,-2.0055,141.0304,tank_focus,tank_focus,0.58364
tank_focus,ranged_focus,0.0,1.0,-3.0,117.0563,tank_focus,ranged_focus,0.41702
tank_focus,swarm_focus,0.0,1.0,-2.9136,109.0957,tank_focus,swarm_focus,0.46363
tank_focus,special_focus,0.0,1.0,-3.0,128.5469,tank_focus,mixed_composition,0.372125
tank_focus,upgrade_focus,0.0,1.0,-2.9937,121.8844,tank_focus,mixed_composition,0.361016
tank_focus,mixed,0.0,1.0,-2.9875,120.8844,tank_focus,swarm_focus,0.35697
ranged_focus,tank_focus,1.0,0.0,2.7927,165.9268,swarm_focus,tank_focus,0.410416
ranged_focus,ranged_focus,0.4875,0.5125,-0.28,173.555,swarm_focus,ranged_focus,0.325438
ranged_focus,swarm_focus,1.0,0.0,2.7636,168.4273,swarm_focus,swarm_focus,0.95
ranged_focus,special_focus,0.95,0.05,1.5761,177.4375,swarm_focus,mixed_composition,0.568744
ranged_focus,upgrade_focus,0.875,0.125,1.3978,177.6298,swarm_focus,mixed_composition,0.531034
ranged_focus,mixed,0.8875,0.1125,1.2595,177.5919,swarm_focus,mixed_composition,0.531034
swarm_focus,tank_focus,0.625,0.375,0.3134,149.0423,swarm_focus,tank_focus,0.384765
swarm_focus,ranged_focus,0.0,1.0,-3.0,114.3094,swarm_focus,mixed_composition,0.426907
swarm_focus,swarm_focus,0.1375,0.8625,-1.8043,139.8614,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.9565,139.8975,swarm_focus,swarm_focus,0.680906
swarm_focus,upgrade_focus,0.0,1.0,-2.975,129.7469,swarm_focus,swarm_focus,0.743643
swarm_focus,mixed,0.0,1.0,-2.9688,126.1094,swarm_focus,swarm_focus,0.85507
special_focus,tank_focus,0.05,0.95,-1.6129,97.0968,special_focus,tank_focus,0.315295
special_focus,ranged_focus,0.0,1.0,-2.9875,102.2625,special_focus,ranged_focus,0.420442
special_focus,swarm_focus,0.0125,0.9875,-2.6786,108.7321,special_focus,swarm_focus,0.444515
special_focus,special_focus,0.0,1.0,-3.0,109.6719,special_focus,mixed_composition,0.397582
special_focus,upgrade_focus,0.0,1.0,-2.8889,104.0772,special_focus,mixed_composition,0.373433
special_focus,mixed,0.0,1.0,-2.9317,105.5745,special_focus,swarm_focus,0.348987
upgrade_focus,tank_focus,0.875,0.125,1.3542,159.2656,swarm_focus,tank_focus,0.403654
upgrade_focus,ranged_focus,0.0,1.0,-2.8659,132.0152,mixed_composition,ranged_focus,0.398757
upgrade_focus,swarm_focus,0.6625,0.3375,0.43,166.9517,swarm_focus,swarm_focus,0.95
upgrade_focus,special_focus,0.025,0.975,-2.2457,165.9743,swarm_focus,mixed_composition,0.531034
upgrade_focus,upgrade_focus,0.0375,0.9625,-2.118,150.559,swarm_focus,mixed_composition,0.497495
upgrade_focus,mixed,0.05,0.95,-2.233,148.679,swarm_focus,swarm_focus,0.509366
mixed,tank_focus,0.8,0.2,1.1979,157.8717,swarm_focus,tank_focus,0.398743
mixed,ranged_focus,0.0125,0.9875,-2.5116,140.3779,mixed_composition,ranged_focus,0.398024
mixed,swarm_focus,0.75,0.25,0.8883,173.1523,swarm_focus,swarm_focus,0.898132
mixed,special_focus,0.025,0.975,-2.2353,162.6676,swarm_focus,mixed_composition,0.568744
mixed,upgrade_focus,0.0625,0.9375,-2.0,154.1798,swarm_focus,swarm_focus,0.535287
mixed,mixed,0.075,0.925,-1.883,151.4654,swarm_focus,swarm_focus,0.515572
