iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,confirmation_raspberry_win_rate,confirmation_blueberry_win_rate,confirmation_avg_final_control,confirmation_balance_score,confirmation_passed,patch_added,stopped
1,0.0,1.0,-2.7006,138.5973,0.81507,,,,,,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (tempo): blueberry.baumkuchen.power factor=0.9621 delta=0.0 | raspberry.macaron.cost factor=0.927 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0473 delta=0.0 | raspberry.macaron.cooldown factor=0.9658 delta=0.0 | raspberry.macaron.power factor=1.0433 delta=0.0 | raspberry.macaron.range factor=1.0138 delta=0.0 | raspberry.macaron.area factor=1.0197 delta=0.0,False
2,0.0125,0.9875,-2.5145,144.0363,0.780858,,,,,,soft nerf blueberry.baumkuchen.speed + rework raspberry.scone (balanced): blueberry.baumkuchen.speed factor=0.9735 delta=0.0 | raspberry.scone.cost factor=0.9379 delta=0.0 | raspberry.scone.hp factor=1.0584 delta=0.0 | raspberry.scone.speed factor=1.0273 delta=0.0 | raspberry.scone.cooldown factor=0.9772 delta=0.0 | raspberry.scone.power factor=1.0506 delta=0.0 | raspberry.scone.range factor=1.0164 delta=0.0,False
3,0.0312,0.9688,-2.4464,148.6533,0.754213,,,,,,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (offense): blueberry.baumkuchen.power factor=0.9631 delta=0.0 | raspberry.macaron.cost factor=0.9456 delta=0.0 | raspberry.macaron.hp factor=1.0422 delta=0.0 | raspberry.macaron.speed factor=1.023 delta=0.0 | raspberry.macaron.cooldown factor=0.9812 delta=0.0 | raspberry.macaron.power factor=1.0728 delta=0.0 | raspberry.macaron.range factor=1.0241 delta=0.0 | raspberry.macaron.area factor=1.0345 delta=0.0,False
4,0.0437,0.9563,-2.2085,150.7873,0.713958,,,,,,soft nerf blueberry.tarte_tatin.cost + rework raspberry.scone (balanced): blueberry.tarte_tatin.cost factor=1.0379 delta=0.0 | raspberry.scone.cost factor=0.9395 delta=0.0 | raspberry.scone.hp factor=1.0569 delta=0.0 | raspberry.scone.speed factor=1.0265 delta=0.0 | raspberry.scone.cooldown factor=0.9778 delta=0.0 | raspberry.scone.power factor=1.0493 delta=0.0 | raspberry.scone.range factor=1.0159 delta=0.0,False
5,0.2375,0.7625,-1.2166,161.8743,0.404437,,,,,,soft nerf blueberry.baumkuchen.hp + rework raspberry.tart (offense): blueberry.baumkuchen.hp factor=0.9755 delta=0.0 | raspberry.tart.cost factor=0.9551 delta=0.0 | raspberry.tart.hp factor=1.0345 delta=0.0 | raspberry.tart.speed factor=1.0188 delta=0.0 | raspberry.tart.cooldown factor=0.9846 delta=0.0 | raspberry.tart.power factor=1.0596 delta=0.0 | raspberry.tart.range factor=1.0198 delta=0.0 | raspberry.tart.area factor=1.0282 delta=0.0,False
6,0.275,0.725,-1.0718,167.3391,0.350043,,,,,,soft nerf blueberry.baumkuchen.speed + rework raspberry.tart (tempo): blueberry.baumkuchen.speed factor=0.9794 delta=0.0 | raspberry.tart.cost factor=0.9432 delta=0.0 | raspberry.tart.hp factor=1.0331 delta=0.0 | raspberry.tart.speed factor=1.0361 delta=0.0 | raspberry.tart.cooldown factor=0.9736 delta=0.0 | raspberry.tart.power factor=1.0331 delta=0.0 | raspberry.tart.range factor=1.0105 delta=0.0 | raspberry.tart.area factor=1.015 delta=0.0,False
7,0.475,0.525,-0.2846,170.6359,0.058203,0.525,0.475,0.1234,0.039397,True,,True
