rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.452963,0.5,0.5,-0.3971,171.2389,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.speed + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.speed factor=0.9884 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9722 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0252 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0118 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.99 delta=0.0 | blueberry.tarte_tatin.power factor=1.0219 delta=0.0 | blueberry.tarte_tatin.range factor=1.0071 delta=0.0 | blueberry.tarte_tatin.area factor=1.0101 delta=0.0
2,0.455576,0.5357,0.4643,-0.1135,174.0276,0.903632,0.5833,0.98215,soft nerf blueberry.pie.speed + rework raspberry.pie (tempo): blueberry.pie.speed factor=0.9884 delta=0.0 | raspberry.pie.cost factor=0.9674 delta=0.0 | raspberry.pie.hp factor=1.0185 delta=0.0 | raspberry.pie.speed factor=1.0202 delta=0.0 | raspberry.pie.cooldown factor=0.9851 delta=0.0 | raspberry.pie.power factor=1.0185 delta=0.0 | raspberry.pie.range factor=1.0059 delta=0.0
3,0.465067,0.5357,0.4643,-0.016,171.9214,0.95,0.0,1.0,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.hp factor=0.9867 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9722 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0252 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0118 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.99 delta=0.0 | blueberry.tarte_tatin.power factor=1.0219 delta=0.0 | blueberry.tarte_tatin.range factor=1.0071 delta=0.0 | blueberry.tarte_tatin.area factor=1.0101 delta=0.0
4,0.468905,0.5,0.5,-0.3549,174.0439,0.95,0.0,1.0,soft nerf blueberry.pie.speed + rework raspberry.pie (offense): blueberry.pie.speed factor=0.9884 delta=0.0 | raspberry.pie.cost factor=0.9754 delta=0.0 | raspberry.pie.hp factor=1.0185 delta=0.0 | raspberry.pie.speed factor=1.0101 delta=0.0 | raspberry.pie.cooldown factor=0.9917 delta=0.0 | raspberry.pie.power factor=1.032 delta=0.0 | raspberry.pie.range factor=1.0106 delta=0.0
5,0.482065,0.5357,0.4643,-0.1617,171.4853,0.95,0.0,1.0,soft nerf blueberry.pie.hp + rework raspberry.pie (tempo): blueberry.pie.hp factor=0.9867 delta=0.0 | raspberry.pie.cost factor=0.9674 delta=0.0 | raspberry.pie.hp factor=1.0185 delta=0.0 | raspberry.pie.speed factor=1.0202 delta=0.0 | raspberry.pie.cooldown factor=0.9851 delta=0.0 | raspberry.pie.power factor=1.0185 delta=0.0 | raspberry.pie.range factor=1.0059 delta=0.0
6,0.506075,0.4643,0.5357,-0.3675,170.0635,0.95,0.0,1.0,soft nerf blueberry.pie.cost + rework raspberry.pie (offense): blueberry.pie.cost factor=1.0168 delta=0.0 | raspberry.pie.cost factor=0.9754 delta=0.0 | raspberry.pie.hp factor=1.0185 delta=0.0 | raspberry.pie.speed factor=1.0101 delta=0.0 | raspberry.pie.cooldown factor=0.9917 delta=0.0 | raspberry.pie.power factor=1.032 delta=0.0 | raspberry.pie.range factor=1.0106 delta=0.0
7,0.563669,0.3928,0.6072,-0.606,171.6021,0.857264,1.1666,0.9643,soft nerf blueberry.pie.hp + rework raspberry.pie (offense): blueberry.pie.hp factor=0.9867 delta=0.0 | raspberry.pie.cost factor=0.9754 delta=0.0 | raspberry.pie.hp factor=1.0185 delta=0.0 | raspberry.pie.speed factor=1.0101 delta=0.0 | raspberry.pie.cooldown factor=0.9917 delta=0.0 | raspberry.pie.power factor=1.032 delta=0.0 | raspberry.pie.range factor=1.0106 delta=0.0
8,0.575696,0.3929,0.6072,-0.5311,170.8168,0.903632,0.5833,0.98215,soft nerf blueberry.pie.hp + rework raspberry.pie (balanced): blueberry.pie.hp factor=0.9867 delta=0.0 | raspberry.pie.cost factor=0.9722 delta=0.0 | raspberry.pie.hp factor=1.0252 delta=0.0 | raspberry.pie.speed factor=1.0118 delta=0.0 | raspberry.pie.cooldown factor=0.99 delta=0.0 | raspberry.pie.power factor=1.0219 delta=0.0 | raspberry.pie.range factor=1.0071 delta=0.0
9,0.58027,0.6786,0.3214,0.1363,177.5869,0.857264,1.1666,0.9643,soft nerf blueberry.pie.speed + rework raspberry.pie (balanced): blueberry.pie.speed factor=0.9884 delta=0.0 | raspberry.pie.cost factor=0.9722 delta=0.0 | raspberry.pie.hp factor=1.0252 delta=0.0 | raspberry.pie.speed factor=1.0118 delta=0.0 | raspberry.pie.cooldown factor=0.99 delta=0.0 | raspberry.pie.power factor=1.0219 delta=0.0 | raspberry.pie.range factor=1.0071 delta=0.0
10,0.584657,0.3928,0.6072,-0.4282,173.5076,0.95,0.0,1.0,soft nerf blueberry.pie.cost + rework raspberry.pie (balanced): blueberry.pie.cost factor=1.0168 delta=0.0 | raspberry.pie.cost factor=0.9722 delta=0.0 | raspberry.pie.hp factor=1.0252 delta=0.0 | raspberry.pie.speed factor=1.0118 delta=0.0 | raspberry.pie.cooldown factor=0.99 delta=0.0 | raspberry.pie.power factor=1.0219 delta=0.0 | raspberry.pie.range factor=1.0071 delta=0.0
