rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.5191,1.0,0.0,0.2292,180.0,blueberry.tarte_tatin.hp factor=0.947 delta=0.0
2,0.524308,1.0,0.0,0.2917,180.0,blueberry.tarte_tatin.power factor=0.9346 delta=0.0
3,0.583333,0.0,1.0,-1.0,180.0,blueberry.tarte_tatin.area factor=0.9346 delta=0.0
4,0.666667,0.0,1.0,-2.0,177.0,blueberry.tarte_tatin.speed factor=0.9533 delta=0.0
