rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.918478,0.0357,0.9643,-2.5011,144.6118,0.811915,1.23005,0.94645,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (offense): raspberry.pie.power factor=0.9623 delta=0.0 | raspberry.scone.cost factor=0.9445 delta=0.0 | raspberry.scone.hp factor=1.0431 delta=0.0 | raspberry.scone.speed factor=1.0235 delta=0.0 | raspberry.scone.cooldown factor=0.9808 delta=0.0 | raspberry.scone.power factor=1.0744 delta=0.0 | raspberry.scone.range factor=1.0247 delta=0.0
2,0.925356,0.0357,0.9643,-2.5172,146.0862,0.836915,1.23005,0.94645,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (tempo): blueberry.tarte_tatin.power factor=0.9623 delta=0.0 | raspberry.macaron.cost factor=0.9274 delta=0.0 | raspberry.macaron.hp factor=1.0431 delta=0.0 | raspberry.macaron.speed factor=1.047 delta=0.0 | raspberry.macaron.cooldown factor=0.966 delta=0.0 | raspberry.macaron.power factor=1.0431 delta=0.0 | raspberry.macaron.range factor=1.0137 delta=0.0 | raspberry.macaron.area factor=1.0196 delta=0.0
3,0.928506,0.0357,0.9643,-2.5442,148.4253,0.836915,1.23005,0.94645,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (tempo): raspberry.pie.power factor=0.9623 delta=0.0 | raspberry.scone.cost factor=0.9274 delta=0.0 | raspberry.scone.hp factor=1.0431 delta=0.0 | raspberry.scone.speed factor=1.047 delta=0.0 | raspberry.scone.cooldown factor=0.966 delta=0.0 | raspberry.scone.power factor=1.0431 delta=0.0 | raspberry.scone.range factor=1.0137 delta=0.0
4,0.960643,0.0357,0.9643,-2.6258,142.0811,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.area + rework raspberry.macaron (balanced): blueberry.tarte_tatin.area factor=0.9623 delta=0.0 | raspberry.macaron.cost factor=0.9376 delta=0.0 | raspberry.macaron.hp factor=1.0587 delta=0.0 | raspberry.macaron.speed factor=1.0274 delta=0.0 | raspberry.macaron.cooldown factor=0.977 delta=0.0 | raspberry.macaron.power factor=1.0509 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0235 delta=0.0
5,0.964033,0.0,1.0,-2.5776,144.406,0.816566,1.2935,0.9286,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (offense): blueberry.tarte_tatin.cost factor=1.0392 delta=0.0 | raspberry.macaron.cost factor=0.9445 delta=0.0 | raspberry.macaron.hp factor=1.0431 delta=0.0 | raspberry.macaron.speed factor=1.0235 delta=0.0 | raspberry.macaron.cooldown factor=0.9808 delta=0.0 | raspberry.macaron.power factor=1.0744 delta=0.0 | raspberry.macaron.range factor=1.0247 delta=0.0 | raspberry.macaron.area factor=1.0352 delta=0.0
6,0.968953,0.0,1.0,-2.55,144.8833,0.857264,1.1666,0.9643,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (balanced): blueberry.tarte_tatin.cost factor=1.0392 delta=0.0 | raspberry.macaron.cost factor=0.9376 delta=0.0 | raspberry.macaron.hp factor=1.0587 delta=0.0 | raspberry.macaron.speed factor=1.0274 delta=0.0 | raspberry.macaron.cooldown factor=0.977 delta=0.0 | raspberry.macaron.power factor=1.0509 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0235 delta=0.0
7,0.97026,0.0,1.0,-2.5166,145.9916,0.883283,0.64675,0.9643,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (balanced): raspberry.pie.power factor=0.9623 delta=0.0 | raspberry.scone.cost factor=0.9376 delta=0.0 | raspberry.scone.hp factor=1.0587 delta=0.0 | raspberry.scone.speed factor=1.0274 delta=0.0 | raspberry.scone.cooldown factor=0.977 delta=0.0 | raspberry.scone.power factor=1.0509 delta=0.0 | raspberry.scone.range factor=1.0164 delta=0.0
8,0.980126,0.0,1.0,-2.7115,143.2683,0.818921,1.2861,0.9286,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (tempo): blueberry.tarte_tatin.cost factor=1.0392 delta=0.0 | raspberry.macaron.cost factor=0.9274 delta=0.0 | raspberry.macaron.hp factor=1.0431 delta=0.0 | raspberry.macaron.speed factor=1.047 delta=0.0 | raspberry.macaron.cooldown factor=0.966 delta=0.0 | raspberry.macaron.power factor=1.0431 delta=0.0 | raspberry.macaron.range factor=1.0137 delta=0.0 | raspberry.macaron.area factor=1.0196 delta=0.0
9,1.002668,0.0,1.0,-2.7595,142.6375,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (balanced): blueberry.tarte_tatin.power factor=0.9623 delta=0.0 | raspberry.macaron.cost factor=0.9376 delta=0.0 | raspberry.macaron.hp factor=1.0587 delta=0.0 | raspberry.macaron.speed factor=1.0274 delta=0.0 | raspberry.macaron.cooldown factor=0.977 delta=0.0 | raspberry.macaron.power factor=1.0509 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0235 delta=0.0
10,1.004781,0.0,1.0,-2.8571,142.9554,0.857264,1.1666,0.9643,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (offense): blueberry.tarte_tatin.power factor=0.9623 delta=0.0 | raspberry.macaron.cost factor=0.9445 delta=0.0 | raspberry.macaron.hp factor=1.0431 delta=0.0 | raspberry.macaron.speed factor=1.0235 delta=0.0 | raspberry.macaron.cooldown factor=0.9808 delta=0.0 | raspberry.macaron.power factor=1.0744 delta=0.0 | raspberry.macaron.range factor=1.0247 delta=0.0 | raspberry.macaron.area factor=1.0352 delta=0.0
