rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.927419,0.0357,0.9643,-2.5,154.5166,0.857264,1.1666,0.9643,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (balanced): blueberry.baumkuchen.power factor=0.9625 delta=0.0 | raspberry.macaron.cost factor=0.9379 delta=0.0 | raspberry.macaron.hp factor=1.0584 delta=0.0 | raspberry.macaron.speed factor=1.0273 delta=0.0 | raspberry.macaron.cooldown factor=0.9772 delta=0.0 | raspberry.macaron.power factor=1.0506 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0234 delta=0.0
2,0.953565,0.0,1.0,-2.3735,152.4606,0.883283,0.64675,0.9643,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): raspberry.pie.cost factor=1.039 delta=0.0 | raspberry.scone.cost factor=0.9277 delta=0.0 | raspberry.scone.hp factor=1.0428 delta=0.0 | raspberry.scone.speed factor=1.0467 delta=0.0 | raspberry.scone.cooldown factor=0.9661 delta=0.0 | raspberry.scone.power factor=1.0428 delta=0.0 | raspberry.scone.range factor=1.0136 delta=0.0
3,0.962489,0.0,1.0,-2.4946,151.4499,0.857264,1.1666,0.9643,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (tempo): blueberry.baumkuchen.power factor=0.9625 delta=0.0 | raspberry.macaron.cost factor=0.9277 delta=0.0 | raspberry.macaron.hp factor=1.0428 delta=0.0 | raspberry.macaron.speed factor=1.0467 delta=0.0 | raspberry.macaron.cooldown factor=0.9661 delta=0.0 | raspberry.macaron.power factor=1.0428 delta=0.0 | raspberry.macaron.range factor=1.0136 delta=0.0 | raspberry.macaron.area factor=1.0195 delta=0.0
4,0.963473,0.0,1.0,-2.5728,149.0175,0.816566,1.2935,0.9286,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (offense): blueberry.baumkuchen.hp factor=0.9698 delta=0.0 | raspberry.macaron.cost factor=0.9448 delta=0.0 | raspberry.macaron.hp factor=1.0428 delta=0.0 | raspberry.macaron.speed factor=1.0234 delta=0.0 | raspberry.macaron.cooldown factor=0.9809 delta=0.0 | raspberry.macaron.power factor=1.074 delta=0.0 | raspberry.macaron.range factor=1.0245 delta=0.0 | raspberry.macaron.area factor=1.0351 delta=0.0
5,0.977756,0.0,1.0,-2.7032,144.8596,0.811915,1.23005,0.94645,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (offense): blueberry.baumkuchen.power factor=0.9625 delta=0.0 | raspberry.macaron.cost factor=0.9448 delta=0.0 | raspberry.macaron.hp factor=1.0428 delta=0.0 | raspberry.macaron.speed factor=1.0234 delta=0.0 | raspberry.macaron.cooldown factor=0.9809 delta=0.0 | raspberry.macaron.power factor=1.074 delta=0.0 | raspberry.macaron.range factor=1.0245 delta=0.0 | raspberry.macaron.area factor=1.0351 delta=0.0
6,0.987649,0.0,1.0,-2.6965,148.9732,0.865289,0.7028,0.94645,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (balanced): blueberry.baumkuchen.hp factor=0.9698 delta=0.0 | raspberry.macaron.cost factor=0.9379 delta=0.0 | raspberry.macaron.hp factor=1.0584 delta=0.0 | raspberry.macaron.speed factor=1.0273 delta=0.0 | raspberry.macaron.cooldown factor=0.9772 delta=0.0 | raspberry.macaron.power factor=1.0506 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0234 delta=0.0
7,0.990488,0.0,1.0,-2.6551,145.8448,0.903632,0.5833,0.98215,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): raspberry.pie.cost factor=1.039 delta=0.0 | raspberry.scone.cost factor=0.9379 delta=0.0 | raspberry.scone.hp factor=1.0584 delta=0.0 | raspberry.scone.speed factor=1.0273 delta=0.0 | raspberry.scone.cooldown factor=0.9772 delta=0.0 | raspberry.scone.power factor=1.0506 delta=0.0 | raspberry.scone.range factor=1.0164 delta=0.0
8,1.00429,0.0,1.0,-2.7734,148.7269,0.903632,0.5833,0.98215,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (offense): raspberry.pie.cost factor=1.039 delta=0.0 | raspberry.scone.cost factor=0.9448 delta=0.0 | raspberry.scone.hp factor=1.0428 delta=0.0 | raspberry.scone.speed factor=1.0234 delta=0.0 | raspberry.scone.cooldown factor=0.9809 delta=0.0 | raspberry.scone.power factor=1.074 delta=0.0 | raspberry.scone.range factor=1.0245 delta=0.0
9,1.008093,0.0,1.0,-2.806,146.6844,0.903632,0.5833,0.98215,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (tempo): blueberry.baumkuchen.hp factor=0.9698 delta=0.0 | raspberry.macaron.cost factor=0.9277 delta=0.0 | raspberry.macaron.hp factor=1.0428 delta=0.0 | raspberry.macaron.speed factor=1.0467 delta=0.0 | raspberry.macaron.cooldown factor=0.9661 delta=0.0 | raspberry.macaron.power factor=1.0428 delta=0.0 | raspberry.macaron.range factor=1.0136 delta=0.0 | raspberry.macaron.area factor=1.0195 delta=0.0
10,1.009538,0.0,1.0,-2.7389,148.1493,0.95,0.0,1.0,soft nerf blueberry.baumkuchen.speed + rework raspberry.macaron (balanced): blueberry.baumkuchen.speed factor=0.9735 delta=0.0 | raspberry.macaron.cost factor=0.9379 delta=0.0 | raspberry.macaron.hp factor=1.0584 delta=0.0 | raspberry.macaron.speed factor=1.0273 delta=0.0 | raspberry.macaron.cooldown factor=0.9772 delta=0.0 | raspberry.macaron.power factor=1.0506 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0234 delta=0.0
