rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.369536,0.5,0.5,-0.2107,170.9145,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.968 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0199 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9853 delta=0.0 | blueberry.pannacotta.power factor=1.0182 delta=0.0 | blueberry.pannacotta.range factor=1.0058 delta=0.0 | blueberry.pannacotta.area factor=1.0083 delta=0.0
2,0.409233,0.4642,0.5357,-0.2441,175.5799,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
3,0.414191,0.5715,0.4285,0.05,171.3166,0.748572,1.34955,0.91075,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.hp factor=0.9869 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9726 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0248 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0116 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9902 delta=0.0 | blueberry.tarte_tatin.power factor=1.0215 delta=0.0 | blueberry.tarte_tatin.range factor=1.0069 delta=0.0 | blueberry.tarte_tatin.area factor=1.0099 delta=0.0
4,0.428642,0.4643,0.5357,-0.2364,172.6821,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
5,0.448833,0.4285,0.5715,-0.601,172.952,0.682703,1.55285,0.83925,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.cost factor=1.0165 delta=0.0 | blueberry.tarte_tatin.cost factor=0.968 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0182 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0199 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9853 delta=0.0 | blueberry.tarte_tatin.power factor=1.0182 delta=0.0 | blueberry.tarte_tatin.range factor=1.0058 delta=0.0 | blueberry.tarte_tatin.area factor=1.0083 delta=0.0
6,0.463922,0.5715,0.4285,-0.0531,174.738,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0165 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
7,0.466763,0.4285,0.5715,-0.3257,175.1067,0.793921,1.2861,0.9286,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (offense): blueberry.pie.cost factor=1.0165 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9758 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0182 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0099 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9918 delta=0.0 | blueberry.tarte_tatin.power factor=1.0314 delta=0.0 | blueberry.tarte_tatin.range factor=1.0104 delta=0.0 | blueberry.tarte_tatin.area factor=1.0149 delta=0.0
8,0.478953,0.4285,0.5715,-0.5357,174.4952,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
9,0.484287,0.3928,0.6072,-0.5357,174.0208,0.699086,1.50215,0.85715,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0165 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9726 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0248 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0116 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9902 delta=0.0 | blueberry.tarte_tatin.power factor=1.0215 delta=0.0 | blueberry.tarte_tatin.range factor=1.0069 delta=0.0 | blueberry.tarte_tatin.area factor=1.0099 delta=0.0
10,0.552065,0.6428,0.3571,0.2014,175.4282,0.857264,1.1666,0.9643,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0165 delta=0.0 | blueberry.pannacotta.cost factor=0.968 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0199 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9853 delta=0.0 | blueberry.pannacotta.power factor=1.0182 delta=0.0 | blueberry.pannacotta.range factor=1.0058 delta=0.0 | blueberry.pannacotta.area factor=1.0083 delta=0.0
11,0.557271,0.3571,0.6429,-0.595,169.8342,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0165 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
12,0.658458,0.3214,0.6786,-0.9814,174.7643,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
