iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,patch_added,stopped
1,0.0063,0.9938,-2.7615,140.2783,0.815875,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (offense): blueberry.tarte_tatin.power factor=0.9349 delta=0.0 | raspberry.macaron.cost factor=0.9054 delta=0.0 | raspberry.macaron.hp factor=1.0766 delta=0.0 | raspberry.macaron.speed factor=1.0418 delta=0.0 | raspberry.macaron.cooldown factor=0.9664 delta=0.0 | raspberry.macaron.power factor=1.1323 delta=0.0 | raspberry.macaron.range factor=1.0439 delta=0.0 | raspberry.macaron.area factor=1.0627 delta=0.0,False
2,0.0312,0.9688,-2.4519,147.7041,0.754855,soft nerf blueberry.baumkuchen.hp + rework raspberry.scone (tempo): blueberry.baumkuchen.hp factor=0.9483 delta=0.0 | raspberry.scone.cost factor=0.8801 delta=0.0 | raspberry.scone.hp factor=1.0749 delta=0.0 | raspberry.scone.speed factor=1.0818 delta=0.0 | raspberry.scone.cooldown factor=0.9422 delta=0.0 | raspberry.scone.power factor=1.0749 delta=0.0 | raspberry.scone.range factor=1.0238 delta=0.0,False
3,0.0625,0.9375,-2.2529,153.2951,0.700338,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (tempo): blueberry.baumkuchen.power factor=0.9379 delta=0.0 | raspberry.macaron.cost factor=0.883 delta=0.0 | raspberry.macaron.hp factor=1.0729 delta=0.0 | raspberry.macaron.speed factor=1.0795 delta=0.0 | raspberry.macaron.cooldown factor=0.9437 delta=0.0 | raspberry.macaron.power factor=1.0729 delta=0.0 | raspberry.macaron.range factor=1.0232 delta=0.0 | raspberry.macaron.area factor=1.0331 delta=0.0,False
4,0.2812,0.7188,-0.832,162.0413,0.315867,soft nerf blueberry.baumkuchen.speed + rework raspberry.baumkuchen (balanced): blueberry.baumkuchen.speed factor=0.9641 delta=0.0 | raspberry.baumkuchen.cost factor=0.9172 delta=0.0 | raspberry.baumkuchen.hp factor=1.0797 delta=0.0 | raspberry.baumkuchen.speed factor=1.0372 delta=0.0 | raspberry.baumkuchen.cooldown factor=0.9691 delta=0.0 | raspberry.baumkuchen.power factor=1.0691 delta=0.0 | raspberry.baumkuchen.range factor=1.0223 delta=0.0,False
5,0.1938,0.8063,-1.3035,160.6477,0.458275,soft nerf blueberry.baumkuchen.power + rework raspberry.baumkuchen (offense): blueberry.baumkuchen.power factor=0.9448 delta=0.0 | raspberry.baumkuchen.cost factor=0.9195 delta=0.0 | raspberry.baumkuchen.hp factor=1.0642 delta=0.0 | raspberry.baumkuchen.speed factor=1.035 delta=0.0 | raspberry.baumkuchen.cooldown factor=0.9716 delta=0.0 | raspberry.baumkuchen.power factor=1.1109 delta=0.0 | raspberry.baumkuchen.range factor=1.0368 delta=0.0,False
6,0.2875,0.7125,-0.9597,163.3817,0.324465,soft nerf blueberry.tarte_tatin.cost + rework raspberry.scone (tempo): blueberry.tarte_tatin.cost factor=1.0528 delta=0.0 | raspberry.scone.cost factor=0.9046 delta=0.0 | raspberry.scone.hp factor=1.058 delta=0.0 | raspberry.scone.speed factor=1.0633 delta=0.0 | raspberry.scone.cooldown factor=0.9547 delta=0.0 | raspberry.scone.power factor=1.058 delta=0.0 | raspberry.scone.range factor=1.0185 delta=0.0,False
7,0.3937,0.6062,-0.5165,171.4165,0.166558,soft nerf blueberry.baumkuchen.hp + rework raspberry.tart (tempo): blueberry.baumkuchen.hp factor=0.9642 delta=0.0 | raspberry.tart.cost factor=0.9151 delta=0.0 | raspberry.tart.hp factor=1.051 delta=0.0 | raspberry.tart.speed factor=1.0556 delta=0.0 | raspberry.tart.cooldown factor=0.9599 delta=0.0 | raspberry.tart.power factor=1.051 delta=0.0 | raspberry.tart.range factor=1.0162 delta=0.0 | raspberry.tart.area factor=1.0232 delta=0.0,False
8,0.5062,0.4938,-0.0077,173.0242,0.007098,,True
