rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.445776,0.5,0.5,-0.3355,172.3713,0.903632,0.5833,0.98215,soft nerf blueberry.pie.speed + rework raspberry.pie (offense): blueberry.pie.speed factor=0.9886 delta=0.0 | raspberry.pie.cost factor=0.9758 delta=0.0 | raspberry.pie.hp factor=1.0182 delta=0.0 | raspberry.pie.speed factor=1.0099 delta=0.0 | raspberry.pie.cooldown factor=0.9918 delta=0.0 | raspberry.pie.power factor=1.0314 delta=0.0 | raspberry.pie.range factor=1.0104 delta=0.0
2,0.44837,0.4643,0.5357,-0.4055,173.1268,0.811915,1.23005,0.94645,reduce raspberry ranged_focus via tart.power + enable special_focus via macaron (tempo): raspberry.tart.power factor=0.9837 delta=0.0 | raspberry.macaron.cost factor=0.968 delta=0.0 | raspberry.macaron.hp factor=1.0182 delta=0.0 | raspberry.macaron.speed factor=1.0199 delta=0.0 | raspberry.macaron.cooldown factor=0.9853 delta=0.0 | raspberry.macaron.power factor=1.0182 delta=0.0 | raspberry.macaron.range factor=1.0058 delta=0.0 | raspberry.macaron.area factor=1.0083 delta=0.0
3,0.461527,0.5715,0.4285,0.0365,176.4187,0.857264,1.1666,0.9643,reduce raspberry ranged_focus via tart.cost + enable special_focus via macaron (balanced): raspberry.tart.cost factor=1.0165 delta=0.0 | raspberry.macaron.cost factor=0.9726 delta=0.0 | raspberry.macaron.hp factor=1.0248 delta=0.0 | raspberry.macaron.speed factor=1.0116 delta=0.0 | raspberry.macaron.cooldown factor=0.9902 delta=0.0 | raspberry.macaron.power factor=1.0215 delta=0.0 | raspberry.macaron.range factor=1.0069 delta=0.0 | raspberry.macaron.area factor=1.0099 delta=0.0
4,0.473461,0.4643,0.5357,-0.2668,174.1563,0.903632,0.5833,0.98215,soft nerf blueberry.pie.hp + rework raspberry.pie (tempo): blueberry.pie.hp factor=0.9869 delta=0.0 | raspberry.pie.cost factor=0.968 delta=0.0 | raspberry.pie.hp factor=1.0182 delta=0.0 | raspberry.pie.speed factor=1.0199 delta=0.0 | raspberry.pie.cooldown factor=0.9853 delta=0.0 | raspberry.pie.power factor=1.0182 delta=0.0 | raspberry.pie.range factor=1.0058 delta=0.0
5,0.524944,0.4286,0.5714,-0.577,169.8113,0.858283,0.64675,0.9643,soft nerf blueberry.pie.hp + rework raspberry.pie (offense): blueberry.pie.hp factor=0.9869 delta=0.0 | raspberry.pie.cost factor=0.9758 delta=0.0 | raspberry.pie.hp factor=1.0182 delta=0.0 | raspberry.pie.speed factor=1.0099 delta=0.0 | raspberry.pie.cooldown factor=0.9918 delta=0.0 | raspberry.pie.power factor=1.0314 delta=0.0 | raspberry.pie.range factor=1.0104 delta=0.0
6,0.539277,0.4285,0.5715,-0.699,170.2951,0.858283,0.64675,0.9643,soft nerf blueberry.pie.cost + rework raspberry.pie (tempo): blueberry.pie.cost factor=1.0165 delta=0.0 | raspberry.pie.cost factor=0.968 delta=0.0 | raspberry.pie.hp factor=1.0182 delta=0.0 | raspberry.pie.speed factor=1.0199 delta=0.0 | raspberry.pie.cooldown factor=0.9853 delta=0.0 | raspberry.pie.power factor=1.0182 delta=0.0 | raspberry.pie.range factor=1.0058 delta=0.0
7,0.592339,0.3928,0.6072,-0.6729,172.8854,0.903632,0.5833,0.98215,soft nerf blueberry.pie.speed + rework raspberry.pie (balanced): blueberry.pie.speed factor=0.9886 delta=0.0 | raspberry.pie.cost factor=0.9726 delta=0.0 | raspberry.pie.hp factor=1.0248 delta=0.0 | raspberry.pie.speed factor=1.0116 delta=0.0 | raspberry.pie.cooldown factor=0.9902 delta=0.0 | raspberry.pie.power factor=1.0215 delta=0.0 | raspberry.pie.range factor=1.0069 delta=0.0
8,0.622251,0.3571,0.6429,-0.9308,174.8041,0.823906,0.7535,0.92855,reduce raspberry ranged_focus via tart.power + enable special_focus via macaron (offense): raspberry.tart.power factor=0.9837 delta=0.0 | raspberry.macaron.cost factor=0.9758 delta=0.0 | raspberry.macaron.hp factor=1.0182 delta=0.0 | raspberry.macaron.speed factor=1.0099 delta=0.0 | raspberry.macaron.cooldown factor=0.9918 delta=0.0 | raspberry.macaron.power factor=1.0314 delta=0.0 | raspberry.macaron.range factor=1.0104 delta=0.0 | raspberry.macaron.area factor=1.0149 delta=0.0
9,0.630108,0.3571,0.6429,-1.0444,171.6295,0.811915,1.23005,0.94645,reduce raspberry ranged_focus via tart.power + enable special_focus via macaron (balanced): raspberry.tart.power factor=0.9837 delta=0.0 | raspberry.macaron.cost factor=0.9726 delta=0.0 | raspberry.macaron.hp factor=1.0248 delta=0.0 | raspberry.macaron.speed factor=1.0116 delta=0.0 | raspberry.macaron.cooldown factor=0.9902 delta=0.0 | raspberry.macaron.power factor=1.0215 delta=0.0 | raspberry.macaron.range factor=1.0069 delta=0.0 | raspberry.macaron.area factor=1.0099 delta=0.0
10,0.641561,0.3571,0.6429,-0.7888,170.4429,0.903632,0.5833,0.98215,soft nerf blueberry.pie.cost + rework raspberry.pie (offense): blueberry.pie.cost factor=1.0165 delta=0.0 | raspberry.pie.cost factor=0.9758 delta=0.0 | raspberry.pie.hp factor=1.0182 delta=0.0 | raspberry.pie.speed factor=1.0099 delta=0.0 | raspberry.pie.cooldown factor=0.9918 delta=0.0 | raspberry.pie.power factor=1.0314 delta=0.0 | raspberry.pie.range factor=1.0104 delta=0.0
