strategy,playouts,seed,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,raspberry_target_strategy_count,blueberry_target_strategy_count,strategy_diversity_penalty,raspberry_avg_upgrades,blueberry_avg_upgrades,policy_raspberry_states,policy_blueberry_states
tank_focus,1500,20260609,0.3953,0.6047,-0.5113,169.9695,mixed_composition,mixed_composition,616,81,0.635806,0.072,0.1267,2538,2233
tank_aoe_focus,1500,20261618,0.5933,0.4067,0.3475,170.857,mixed_composition,mixed_composition,575,166,0.587442,0.0427,0.0907,1948,1687
ranged_focus,1500,20262627,0.7867,0.2133,1.1084,173.0096,mixed_composition,mixed_composition,156,318,0.714306,0.026,0.0667,1760,1547
swarm_focus,1500,20263636,0.3493,0.6507,-0.878,161.6935,swarm_focus,swarm_focus,848,1134,0.463586,0.2867,0.3527,5399,4968
special_focus,1500,20264645,0.0867,0.9133,-2.066,150.9778,special_focus,mixed_composition,835,0,0.500611,0.0553,0.1193,2460,2210
upgrade_focus,1500,20265654,0.532,0.468,-0.0829,173.7661,mixed_composition,mixed_composition,182,485,0.591564,1.144,1.39,5290,4619
mixed,1500,20266663,0.38,0.62,-0.5739,171.3975,mixed_composition,mixed_composition,1458,1339,0.753697,0.096,0.184,3170,2839
