raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.85,0.15,1.3526,156.4895,tank_focus,tank_focus,0.749908
tank_focus,ranged_focus,0.2125,0.7875,-1.1827,157.1802,tank_focus,swarm_focus,0.33944
tank_focus,swarm_focus,0.1875,0.8125,-1.4897,139.518,tank_focus,swarm_focus,0.525904
tank_focus,special_focus,0.0,1.0,-2.925,162.4187,tank_focus,swarm_focus,0.525904
tank_focus,upgrade_focus,0.0,1.0,-2.75,151.5915,tank_focus,swarm_focus,0.525904
tank_focus,mixed,0.0375,0.9625,-2.2971,152.9657,tank_focus,swarm_focus,0.525904
ranged_focus,tank_focus,1.0,0.0,2.7289,169.5602,mixed_composition,tank_focus,0.525904
ranged_focus,ranged_focus,0.9875,0.0125,2.0625,173.8409,mixed_composition,ranged_focus,0.531034
ranged_focus,swarm_focus,1.0,0.0,2.8882,161.854,mixed_composition,swarm_focus,0.525904
ranged_focus,special_focus,0.7125,0.2875,0.6515,177.8409,mixed_composition,swarm_focus,0.464558
ranged_focus,upgrade_focus,0.85,0.15,1.3871,172.2419,mixed_composition,swarm_focus,0.576952
ranged_focus,mixed,0.9625,0.0375,1.8674,174.1602,mixed_composition,mixed_composition,0.688027
swarm_focus,tank_focus,0.9625,0.0375,2.1099,148.8214,swarm_focus,tank_focus,0.474374
swarm_focus,ranged_focus,0.0,1.0,-3.0,129.1219,swarm_focus,swarm_focus,0.862846
swarm_focus,swarm_focus,0.75,0.25,1.2108,152.0432,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.7578,166.1366,swarm_focus,swarm_focus,0.888366
swarm_focus,upgrade_focus,0.0,1.0,-2.9193,141.913,swarm_focus,swarm_focus,0.95
swarm_focus,mixed,0.0,1.0,-2.816,149.1994,swarm_focus,swarm_focus,0.888366
special_focus,tank_focus,0.6875,0.3125,0.6203,164.0294,special_focus,tank_focus,0.424374
special_focus,ranged_focus,0.0875,0.9125,-2.1314,131.3371,special_focus,swarm_focus,0.34589
special_focus,swarm_focus,0.0375,0.9625,-2.1413,125.6114,special_focus,swarm_focus,0.525904
special_focus,special_focus,0.0,1.0,-2.9875,121.2687,special_focus,swarm_focus,0.509073
special_focus,upgrade_focus,0.0,1.0,-2.7246,136.3623,special_focus,swarm_focus,0.516264
special_focus,mixed,0.0,1.0,-2.645,128.7929,special_focus,swarm_focus,0.491955
upgrade_focus,tank_focus,1.0,0.0,2.8758,164.9099,mixed_composition,tank_focus,0.528447
upgrade_focus,ranged_focus,0.9625,0.0375,2.0747,165.6667,mixed_composition,ranged_focus,0.540426
upgrade_focus,swarm_focus,1.0,0.0,2.8012,161.0186,mixed_composition,swarm_focus,0.525904
upgrade_focus,special_focus,0.25,0.75,-0.9683,178.3836,mixed_composition,swarm_focus,0.559366
upgrade_focus,upgrade_focus,0.575,0.425,0.2737,171.8684,mixed_composition,swarm_focus,0.512446
upgrade_focus,mixed,0.95,0.05,1.7278,172.5278,mixed_composition,mixed_composition,0.725675
mixed,tank_focus,1.0,0.0,2.882,156.6304,mixed_composition,tank_focus,0.528447
mixed,ranged_focus,0.725,0.275,0.809,162.3794,mixed_composition,ranged_focus,0.536193
mixed,swarm_focus,1.0,0.0,2.4524,163.9792,mixed_composition,swarm_focus,0.525904
mixed,special_focus,0.025,0.975,-2.0867,176.448,mixed_composition,swarm_focus,0.531034
mixed,upgrade_focus,0.3,0.7,-0.5507,162.9034,mixed_composition,swarm_focus,0.547495
mixed,mixed,0.675,0.325,0.549,170.9951,mixed_composition,swarm_focus,0.556673
