raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.075,0.925,-1.8316,143.6816,tank_focus,mixed_composition,0.551903
tank_focus,ranged_focus,0.0,1.0,-2.9198,132.5247,tank_focus,swarm_focus,0.34641
tank_focus,swarm_focus,0.025,0.975,-2.431,124.3333,tank_focus,swarm_focus,0.502809
tank_focus,special_focus,0.0,1.0,-2.9875,137.3031,tank_focus,swarm_focus,0.500242
tank_focus,upgrade_focus,0.0,1.0,-2.9627,130.2422,tank_focus,swarm_focus,0.421655
tank_focus,mixed,0.0,1.0,-2.9937,129.5781,tank_focus,swarm_focus,0.500242
ranged_focus,tank_focus,1.0,0.0,2.7117,167.1196,mixed_composition,tank_focus,0.414245
ranged_focus,ranged_focus,0.9375,0.0625,1.9777,173.6508,mixed_composition,ranged_focus,0.539063
ranged_focus,swarm_focus,1.0,0.0,2.8875,164.7688,mixed_composition,swarm_focus,0.633806
ranged_focus,special_focus,0.8875,0.1125,1.4145,176.1244,mixed_composition,swarm_focus,0.610403
ranged_focus,upgrade_focus,0.9625,0.0375,1.9773,175.6307,mixed_composition,mixed_composition,0.65982
ranged_focus,mixed,0.9625,0.0375,1.8077,175.1374,mixed_composition,mixed_composition,0.68617
swarm_focus,tank_focus,0.8375,0.1625,1.5291,153.1164,swarm_focus,tank_focus,0.416485
swarm_focus,ranged_focus,0.0,1.0,-2.9813,122.6375,swarm_focus,swarm_focus,0.776205
swarm_focus,swarm_focus,0.375,0.625,-0.4897,149.4072,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.7888,158.4658,swarm_focus,swarm_focus,0.888366
swarm_focus,upgrade_focus,0.0,1.0,-2.7669,140.7025,swarm_focus,swarm_focus,0.898132
swarm_focus,mixed,0.0,1.0,-2.9006,138.7236,swarm_focus,swarm_focus,0.898132
special_focus,tank_focus,0.0375,0.9625,-1.7303,89.1264,special_focus,mixed_composition,0.345649
special_focus,ranged_focus,0.0,1.0,-2.5091,99.3939,special_focus,mixed_composition,0.267892
special_focus,swarm_focus,0.0125,0.9875,-2.6467,107.6946,special_focus,swarm_focus,0.525904
special_focus,special_focus,0.0,1.0,-2.8438,114.4562,special_focus,swarm_focus,0.516264
special_focus,upgrade_focus,0.0,1.0,-2.6543,105.5463,special_focus,swarm_focus,0.424374
special_focus,mixed,0.0125,0.9875,-2.725,103.1937,special_focus,swarm_focus,0.509073
upgrade_focus,tank_focus,0.9,0.1,1.5924,150.375,mixed_composition,tank_focus,0.506967
upgrade_focus,ranged_focus,0.2375,0.7625,-1.0612,146.4031,mixed_composition,mixed_composition,0.620735
upgrade_focus,swarm_focus,0.775,0.225,1.0419,167.1675,mixed_composition,swarm_focus,0.544639
upgrade_focus,special_focus,0.0,1.0,-2.3772,168.5659,mixed_composition,swarm_focus,0.533666
upgrade_focus,upgrade_focus,0.1875,0.8125,-1.3594,156.8672,mixed_composition,swarm_focus,0.544639
upgrade_focus,mixed,0.1125,0.8875,-1.7234,154.1941,mixed_composition,swarm_focus,0.536342
mixed,tank_focus,0.9375,0.0625,1.9489,153.1989,mixed_composition,tank_focus,0.357317
mixed,ranged_focus,0.2125,0.7875,-1.3915,151.8122,mixed_composition,mixed_composition,0.552607
mixed,swarm_focus,0.9375,0.0625,1.75,169.9266,mixed_composition,swarm_focus,0.575223
mixed,special_focus,0.0,1.0,-2.2749,171.6959,mixed_composition,swarm_focus,0.525904
mixed,upgrade_focus,0.1875,0.8125,-1.245,162.765,mixed_composition,swarm_focus,0.541829
mixed,mixed,0.25,0.75,-1.1865,160.2487,mixed_composition,swarm_focus,0.528447
