rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.393933,0.3929,0.6072,-0.83,166.6517,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (tempo): blueberry.tarte_tatin.power factor=0.9684 delta=0.0 | raspberry.macaron.cost factor=0.9387 delta=0.0 | raspberry.macaron.hp factor=1.0359 delta=0.0 | raspberry.macaron.speed factor=1.0392 delta=0.0 | raspberry.macaron.cooldown factor=0.9715 delta=0.0 | raspberry.macaron.power factor=1.0359 delta=0.0 | raspberry.macaron.range factor=1.0114 delta=0.0 | raspberry.macaron.area factor=1.0163 delta=0.0
2,0.43065,0.3572,0.6428,-0.9182,167.3636,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (tempo): blueberry.tarte_tatin.cost factor=1.0326 delta=0.0 | raspberry.macaron.cost factor=0.9387 delta=0.0 | raspberry.macaron.hp factor=1.0359 delta=0.0 | raspberry.macaron.speed factor=1.0392 delta=0.0 | raspberry.macaron.cooldown factor=0.9715 delta=0.0 | raspberry.macaron.power factor=1.0359 delta=0.0 | raspberry.macaron.range factor=1.0114 delta=0.0 | raspberry.macaron.area factor=1.0163 delta=0.0
3,0.45936,0.3215,0.6785,-0.7788,165.5748,0.95,0.0,1.0,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (offense): raspberry.pie.cost factor=1.0326 delta=0.0 | raspberry.scone.cost factor=0.9533 delta=0.0 | raspberry.scone.hp factor=1.0359 delta=0.0 | raspberry.scone.speed factor=1.0196 delta=0.0 | raspberry.scone.cooldown factor=0.9839 delta=0.0 | raspberry.scone.power factor=1.062 delta=0.0 | raspberry.scone.range factor=1.0206 delta=0.0
4,0.609167,0.2143,0.7857,-1.144,163.2355,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (offense): blueberry.tarte_tatin.cost factor=1.0326 delta=0.0 | raspberry.macaron.cost factor=0.9533 delta=0.0 | raspberry.macaron.hp factor=1.0359 delta=0.0 | raspberry.macaron.speed factor=1.0196 delta=0.0 | raspberry.macaron.cooldown factor=0.9839 delta=0.0 | raspberry.macaron.power factor=1.062 delta=0.0 | raspberry.macaron.range factor=1.0206 delta=0.0 | raspberry.macaron.area factor=1.0294 delta=0.0
5,0.63147,0.2142,0.7857,-1.4138,158.6365,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (balanced): blueberry.tarte_tatin.cost factor=1.0326 delta=0.0 | raspberry.macaron.cost factor=0.9475 delta=0.0 | raspberry.macaron.hp factor=1.0489 delta=0.0 | raspberry.macaron.speed factor=1.0228 delta=0.0 | raspberry.macaron.cooldown factor=0.9808 delta=0.0 | raspberry.macaron.power factor=1.0424 delta=0.0 | raspberry.macaron.range factor=1.0137 delta=0.0 | raspberry.macaron.area factor=1.0196 delta=0.0
6,0.65238,0.1786,0.8214,-1.2084,167.4583,0.95,0.0,1.0,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): raspberry.pie.cost factor=1.0326 delta=0.0 | raspberry.scone.cost factor=0.9387 delta=0.0 | raspberry.scone.hp factor=1.0359 delta=0.0 | raspberry.scone.speed factor=1.0392 delta=0.0 | raspberry.scone.cooldown factor=0.9715 delta=0.0 | raspberry.scone.power factor=1.0359 delta=0.0 | raspberry.scone.range factor=1.0114 delta=0.0
7,0.665855,0.1786,0.8215,-1.3239,164.1662,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (offense): blueberry.tarte_tatin.power factor=0.9684 delta=0.0 | raspberry.macaron.cost factor=0.9533 delta=0.0 | raspberry.macaron.hp factor=1.0359 delta=0.0 | raspberry.macaron.speed factor=1.0196 delta=0.0 | raspberry.macaron.cooldown factor=0.9839 delta=0.0 | raspberry.macaron.power factor=1.062 delta=0.0 | raspberry.macaron.range factor=1.0206 delta=0.0 | raspberry.macaron.area factor=1.0294 delta=0.0
8,0.680818,0.1785,0.8215,-1.4513,156.8672,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.hp + rework raspberry.macaron (balanced): blueberry.tarte_tatin.hp factor=0.9746 delta=0.0 | raspberry.macaron.cost factor=0.9475 delta=0.0 | raspberry.macaron.hp factor=1.0489 delta=0.0 | raspberry.macaron.speed factor=1.0228 delta=0.0 | raspberry.macaron.cooldown factor=0.9808 delta=0.0 | raspberry.macaron.power factor=1.0424 delta=0.0 | raspberry.macaron.range factor=1.0137 delta=0.0 | raspberry.macaron.area factor=1.0196 delta=0.0
9,0.728028,0.1429,0.8571,-1.6303,153.45,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (balanced): blueberry.tarte_tatin.power factor=0.9684 delta=0.0 | raspberry.macaron.cost factor=0.9475 delta=0.0 | raspberry.macaron.hp factor=1.0489 delta=0.0 | raspberry.macaron.speed factor=1.0228 delta=0.0 | raspberry.macaron.cooldown factor=0.9808 delta=0.0 | raspberry.macaron.power factor=1.0424 delta=0.0 | raspberry.macaron.range factor=1.0137 delta=0.0 | raspberry.macaron.area factor=1.0196 delta=0.0
10,0.823398,0.0714,0.9286,-1.8349,160.5288,0.903632,0.5833,0.98215,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): raspberry.pie.cost factor=1.0326 delta=0.0 | raspberry.scone.cost factor=0.9475 delta=0.0 | raspberry.scone.hp factor=1.0489 delta=0.0 | raspberry.scone.speed factor=1.0228 delta=0.0 | raspberry.scone.cooldown factor=0.9808 delta=0.0 | raspberry.scone.power factor=1.0424 delta=0.0 | raspberry.scone.range factor=1.0137 delta=0.0
