rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.391989,0.5357,0.4643,-0.2702,175.2778,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9846 delta=0.0 | blueberry.pannacotta.cost factor=0.9716 delta=0.0 | blueberry.pannacotta.hp factor=1.0214 delta=0.0 | blueberry.pannacotta.speed factor=1.0117 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9903 delta=0.0 | blueberry.pannacotta.power factor=1.0371 delta=0.0 | blueberry.pannacotta.range factor=1.0123 delta=0.0 | blueberry.pannacotta.area factor=1.0175 delta=0.0
2,0.394218,0.5357,0.4643,-0.351,172.7493,0.793921,1.2861,0.9286,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9865 delta=0.0 | blueberry.pannacotta.cost factor=0.9716 delta=0.0 | blueberry.pannacotta.hp factor=1.0214 delta=0.0 | blueberry.pannacotta.speed factor=1.0117 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9903 delta=0.0 | blueberry.pannacotta.power factor=1.0371 delta=0.0 | blueberry.pannacotta.range factor=1.0123 delta=0.0 | blueberry.pannacotta.area factor=1.0175 delta=0.0
3,0.398313,0.4643,0.5357,-0.3861,172.1878,0.793921,1.2861,0.9286,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.power factor=0.9809 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9625 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0214 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0234 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9828 delta=0.0 | blueberry.tarte_tatin.power factor=1.0214 delta=0.0 | blueberry.tarte_tatin.range factor=1.0068 delta=0.0 | blueberry.tarte_tatin.area factor=1.0097 delta=0.0
4,0.427069,0.4285,0.5715,-0.4812,173.2737,0.748572,1.34955,0.91075,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0195 delta=0.0 | blueberry.pannacotta.cost factor=0.9679 delta=0.0 | blueberry.pannacotta.hp factor=1.0292 delta=0.0 | blueberry.pannacotta.speed factor=1.0136 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9884 delta=0.0 | blueberry.pannacotta.power factor=1.0253 delta=0.0 | blueberry.pannacotta.range factor=1.0082 delta=0.0 | blueberry.pannacotta.area factor=1.0117 delta=0.0
5,0.431551,0.6072,0.3928,0.1143,172.3858,0.777539,1.3368,0.9107,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9846 delta=0.0 | blueberry.pannacotta.cost factor=0.9625 delta=0.0 | blueberry.pannacotta.hp factor=1.0214 delta=0.0 | blueberry.pannacotta.speed factor=1.0234 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9828 delta=0.0 | blueberry.pannacotta.power factor=1.0214 delta=0.0 | blueberry.pannacotta.range factor=1.0068 delta=0.0 | blueberry.pannacotta.area factor=1.0097 delta=0.0
6,0.452698,0.4285,0.5715,-0.5454,170.6515,0.793921,1.2861,0.9286,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0195 delta=0.0 | blueberry.pannacotta.cost factor=0.9716 delta=0.0 | blueberry.pannacotta.hp factor=1.0214 delta=0.0 | blueberry.pannacotta.speed factor=1.0117 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9903 delta=0.0 | blueberry.pannacotta.power factor=1.0371 delta=0.0 | blueberry.pannacotta.range factor=1.0123 delta=0.0 | blueberry.pannacotta.area factor=1.0175 delta=0.0
7,0.454063,0.4643,0.5357,-0.4878,173.1858,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0195 delta=0.0 | blueberry.pannacotta.cost factor=0.9625 delta=0.0 | blueberry.pannacotta.hp factor=1.0214 delta=0.0 | blueberry.pannacotta.speed factor=1.0234 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9828 delta=0.0 | blueberry.pannacotta.power factor=1.0214 delta=0.0 | blueberry.pannacotta.range factor=1.0068 delta=0.0 | blueberry.pannacotta.area factor=1.0097 delta=0.0
8,0.473459,0.6072,0.3928,0.0412,171.7018,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9865 delta=0.0 | blueberry.pannacotta.cost factor=0.9679 delta=0.0 | blueberry.pannacotta.hp factor=1.0292 delta=0.0 | blueberry.pannacotta.speed factor=1.0136 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9884 delta=0.0 | blueberry.pannacotta.power factor=1.0253 delta=0.0 | blueberry.pannacotta.range factor=1.0082 delta=0.0 | blueberry.pannacotta.area factor=1.0117 delta=0.0
9,0.485633,0.6429,0.3571,0.154,174.101,0.811915,1.23005,0.94645,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0195 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9679 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0292 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0136 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9884 delta=0.0 | blueberry.tarte_tatin.power factor=1.0253 delta=0.0 | blueberry.tarte_tatin.range factor=1.0082 delta=0.0 | blueberry.tarte_tatin.area factor=1.0117 delta=0.0
10,0.589288,0.6785,0.3215,0.2639,175.0208,0.95,0.0,1.0,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9846 delta=0.0 | blueberry.pannacotta.cost factor=0.9679 delta=0.0 | blueberry.pannacotta.hp factor=1.0292 delta=0.0 | blueberry.pannacotta.speed factor=1.0136 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9884 delta=0.0 | blueberry.pannacotta.power factor=1.0253 delta=0.0 | blueberry.pannacotta.range factor=1.0082 delta=0.0 | blueberry.pannacotta.area factor=1.0117 delta=0.0
11,0.61111,0.75,0.25,0.5287,177.1497,0.748572,1.34955,0.91075,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.power factor=0.9809 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9679 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0292 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0136 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9884 delta=0.0 | blueberry.tarte_tatin.power factor=1.0253 delta=0.0 | blueberry.tarte_tatin.range factor=1.0082 delta=0.0 | blueberry.tarte_tatin.area factor=1.0117 delta=0.0
