rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,1.026201,0.9285,0.0714,2.3276,159.0172,0.858283,0.64675,0.9643,reduce blueberry swarm_focus via pie.power + enable ranged_focus via scone (offense): blueberry.pie.power factor=0.9752 delta=0.0 | blueberry.scone.cost factor=0.9633 delta=0.0 | blueberry.scone.hp factor=1.0279 delta=0.0 | blueberry.scone.speed factor=1.0152 delta=0.0 | blueberry.scone.cooldown factor=0.9875 delta=0.0 | blueberry.scone.power factor=1.0483 delta=0.0 | blueberry.scone.range factor=1.016 delta=0.0
2,1.043417,0.9643,0.0357,2.0206,165.9677,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0254 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0279 delta=0.0 | blueberry.pannacotta.speed factor=1.0152 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9875 delta=0.0 | blueberry.pannacotta.power factor=1.0483 delta=0.0 | blueberry.pannacotta.range factor=1.016 delta=0.0 | blueberry.pannacotta.area factor=1.0229 delta=0.0
3,1.063775,0.9643,0.0357,2.1951,163.2296,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0279 delta=0.0 | blueberry.pannacotta.speed factor=1.0152 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9875 delta=0.0 | blueberry.pannacotta.power factor=1.0483 delta=0.0 | blueberry.pannacotta.range factor=1.016 delta=0.0 | blueberry.pannacotta.area factor=1.0229 delta=0.0
4,1.083457,0.9643,0.0357,2.3638,167.8795,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.9586 delta=0.0 | blueberry.pannacotta.hp factor=1.0381 delta=0.0 | blueberry.pannacotta.speed factor=1.0178 delta=0.0 | blueberry.pannacotta.cooldown factor=0.985 delta=0.0 | blueberry.pannacotta.power factor=1.033 delta=0.0 | blueberry.pannacotta.range factor=1.0107 delta=0.0 | blueberry.pannacotta.area factor=1.0152 delta=0.0
5,1.09179,0.9643,0.0357,2.2842,165.0926,0.95,0.0,1.0,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0254 delta=0.0 | blueberry.pannacotta.cost factor=0.9586 delta=0.0 | blueberry.pannacotta.hp factor=1.0381 delta=0.0 | blueberry.pannacotta.speed factor=1.0178 delta=0.0 | blueberry.pannacotta.cooldown factor=0.985 delta=0.0 | blueberry.pannacotta.power factor=1.033 delta=0.0 | blueberry.pannacotta.range factor=1.0107 delta=0.0 | blueberry.pannacotta.area factor=1.0152 delta=0.0
6,1.141945,1.0,0.0,2.4081,152.1132,0.95,0.0,1.0,reduce blueberry swarm_focus via pie.power + enable ranged_focus via scone (tempo): blueberry.pie.power factor=0.9752 delta=0.0 | blueberry.scone.cost factor=0.9516 delta=0.0 | blueberry.scone.hp factor=1.0279 delta=0.0 | blueberry.scone.speed factor=1.0305 delta=0.0 | blueberry.scone.cooldown factor=0.9776 delta=0.0 | blueberry.scone.power factor=1.0279 delta=0.0 | blueberry.scone.range factor=1.0089 delta=0.0
7,1.15073,1.0,0.0,2.4834,167.5417,0.95,0.0,1.0,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.9516 delta=0.0 | blueberry.pannacotta.hp factor=1.0279 delta=0.0 | blueberry.pannacotta.speed factor=1.0305 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9776 delta=0.0 | blueberry.pannacotta.power factor=1.0279 delta=0.0 | blueberry.pannacotta.range factor=1.0089 delta=0.0 | blueberry.pannacotta.area factor=1.0127 delta=0.0
8,1.156692,1.0,0.0,2.5345,167.0431,0.95,0.0,1.0,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9825 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0279 delta=0.0 | blueberry.pannacotta.speed factor=1.0152 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9875 delta=0.0 | blueberry.pannacotta.power factor=1.0483 delta=0.0 | blueberry.pannacotta.range factor=1.016 delta=0.0 | blueberry.pannacotta.area factor=1.0229 delta=0.0
9,1.166748,1.0,0.0,2.6207,157.7242,0.95,0.0,1.0,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): blueberry.pie.cost factor=1.0254 delta=0.0 | blueberry.scone.cost factor=0.9586 delta=0.0 | blueberry.scone.hp factor=1.0381 delta=0.0 | blueberry.scone.speed factor=1.0178 delta=0.0 | blueberry.scone.cooldown factor=0.985 delta=0.0 | blueberry.scone.power factor=1.033 delta=0.0 | blueberry.scone.range factor=1.0107 delta=0.0
10,1.168183,1.0,0.0,2.633,167.1062,0.95,0.0,1.0,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0254 delta=0.0 | blueberry.pannacotta.cost factor=0.9516 delta=0.0 | blueberry.pannacotta.hp factor=1.0279 delta=0.0 | blueberry.pannacotta.speed factor=1.0305 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9776 delta=0.0 | blueberry.pannacotta.power factor=1.0279 delta=0.0 | blueberry.pannacotta.range factor=1.0089 delta=0.0 | blueberry.pannacotta.area factor=1.0127 delta=0.0
