rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.555558,1.0,0.0,-0.6667,180.0,blueberry.pie.cost factor=1.105 delta=0.0
2,0.625,0.0,1.0,-1.5,180.0,blueberry.tarte_tatin.speed factor=0.9315 delta=0.0
3,0.656983,0.0,1.0,-1.8838,158.0051,blueberry.tarte_tatin.power factor=0.905 delta=0.0
4,0.666667,0.0,1.0,-2.0,180.0,blueberry.tarte_tatin.cost factor=1.105 delta=0.0
5,0.75,0.0,1.0,-3.0,166.75,blueberry.tarte_tatin.area factor=0.905 delta=0.0
6,0.75,0.0,1.0,-3.0,166.75,blueberry.tarte_tatin.hp factor=0.9225 delta=0.0
7,0.75,0.0,1.0,-3.0,180.0,blueberry.pie.power factor=0.905 delta=0.0
8,0.75,0.0,1.0,-3.0,167.125,blueberry.pie.hp factor=0.9225 delta=0.0
