rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.666667,0.0,1.0,-2.0,178.75,blueberry.tarte_tatin.hp factor=0.947 delta=0.0
2,0.666667,0.0,1.0,-2.0,180.0,blueberry.tarte_tatin.area factor=0.9346 delta=0.0
3,0.75,0.0,1.0,-3.0,154.75,blueberry.tarte_tatin.speed factor=0.9533 delta=0.0
4,0.75,0.0,1.0,-3.0,156.25,blueberry.tarte_tatin.power factor=0.9346 delta=0.0
