strategy,playouts,seed,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,raspberry_target_strategy_count,blueberry_target_strategy_count,strategy_diversity_penalty,raspberry_avg_upgrades,blueberry_avg_upgrades,policy_raspberry_states,policy_blueberry_states
tank_focus,3,20260609,1.0,0.0,3.0,166.5833,mixed_composition,mixed_composition,1,1,0.559155,0.0,0.0,53,47
ranged_focus,3,20261618,0.6667,0.3333,0.5714,173.7857,mixed_composition,ranged_focus,1,2,0.430505,0.0,0.0,78,75
