rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.666667,0.0,1.0,-2.0,168.125,blueberry.pie.speed factor=0.9315 delta=0.0
2,0.708333,0.0,1.0,-2.5,152.25,blueberry.tarte_tatin.area factor=0.905 delta=0.0
3,0.708333,0.0,1.0,-2.5,152.375,blueberry.tarte_tatin.hp factor=0.9225 delta=0.0
4,0.708333,0.0,1.0,-2.5,158.125,blueberry.tarte_tatin.power factor=0.905 delta=0.0
5,0.708333,0.0,1.0,-2.5,152.5,blueberry.pie.power factor=0.905 delta=0.0
6,0.708333,0.0,1.0,-2.5,157.25,blueberry.pie.hp factor=0.9225 delta=0.0
7,0.708333,0.0,1.0,-2.5,152.5,blueberry.pie.cost factor=1.105 delta=0.0
8,0.75,0.0,1.0,-3.0,152.75,blueberry.tarte_tatin.speed factor=0.9315 delta=0.0
