iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,patch_added,stopped
1,0.0,1.0,-2.5,172.5,0.708333,blueberry.tarte_tatin.power factor=0.905 delta=0.0,False
2,0.0,1.0,-3.0,166.75,0.75,blueberry.pie.cost factor=1.105 delta=0.0,False
3,0.0,1.0,-2.5,152.375,0.708333,blueberry.pie.speed factor=0.9315 delta=0.0,False
4,0.0,1.0,-2.0,166.875,0.666667,blueberry.tarte_tatin.cost factor=1.105 delta=0.0,False
5,1.0,0.0,0.0,180.0,0.5,raspberry.tart.area factor=0.905 delta=0.0,False
6,0.0,1.0,-1.5,180.0,0.625,blueberry.tarte_tatin.cost factor=1.105 delta=0.0,False
7,0.0,1.0,-3.0,162.5,0.75,blueberry.tarte_tatin.power factor=0.905 delta=0.0,False
8,1.0,0.0,2.0,180.0,0.666667,raspberry.pie.cost factor=1.105 delta=0.0,False
9,0.0,1.0,-2.5,176.75,0.708333,blueberry.pie.speed factor=0.9315 delta=0.0,False
