raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate
tank_focus,tank_focus,0.9,0.1
tank_focus,ranged_focus,0.275,0.725
tank_focus,swarm_focus,0.075,0.925
tank_focus,special_focus,0.0,1.0
tank_focus,upgrade_focus,0.0,1.0
tank_focus,mixed,0.075,0.925
ranged_focus,tank_focus,1.0,0.0
ranged_focus,ranged_focus,0.95,0.05
ranged_focus,swarm_focus,1.0,0.0
ranged_focus,special_focus,0.875,0.125
ranged_focus,upgrade_focus,0.975,0.025
ranged_focus,mixed,1.0,0.0
swarm_focus,tank_focus,0.975,0.025
swarm_focus,ranged_focus,0.0,1.0
swarm_focus,swarm_focus,0.825,0.175
swarm_focus,special_focus,0.0,1.0
swarm_focus,upgrade_focus,0.0,1.0
swarm_focus,mixed,0.0,1.0
special_focus,tank_focus,0.75,0.25
special_focus,ranged_focus,0.05,0.95
special_focus,swarm_focus,0.1,0.9
special_focus,special_focus,0.0,1.0
special_focus,upgrade_focus,0.0,1.0
special_focus,mixed,0.0,1.0
upgrade_focus,tank_focus,1.0,0.0
upgrade_focus,ranged_focus,0.825,0.175
upgrade_focus,swarm_focus,1.0,0.0
upgrade_focus,special_focus,0.425,0.575
upgrade_focus,upgrade_focus,0.65,0.35
upgrade_focus,mixed,0.975,0.025
mixed,tank_focus,1.0,0.0
mixed,ranged_focus,0.625,0.375
mixed,swarm_focus,1.0,0.0
mixed,special_focus,0.075,0.925
mixed,upgrade_focus,0.475,0.525
mixed,mixed,0.725,0.275
