rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.625,0.0,1.0,-1.5,180.0,blueberry.tarte_tatin.speed factor=0.9315 delta=0.0
2,0.666667,0.0,1.0,-2.0,177.0,blueberry.tarte_tatin.area factor=0.905 delta=0.0
3,0.708333,0.0,1.0,-2.5,180.0,blueberry.tarte_tatin.power factor=0.905 delta=0.0
4,0.75,0.0,1.0,-3.0,149.2344,blueberry.tarte_tatin.cost factor=1.105 delta=0.0
