rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.175192,0.6333,0.3667,0.5027,172.3372,blueberry.scone.power factor=0.9443 delta=0.0
2,0.2746,0.3,0.7,-0.8952,166.7559,blueberry.tarte_tatin.hp factor=0.9549 delta=0.0
3,0.324683,0.2666,0.7333,-1.0954,172.734,blueberry.tarte_tatin.speed factor=0.9603 delta=0.0
4,0.325392,0.2666,0.7333,-1.1039,170.8908,blueberry.tarte_tatin.cost factor=1.059 delta=0.0
5,0.41015,0.2,0.8,-1.3218,170.0477,blueberry.tarte_tatin.power factor=0.9443 delta=0.0
6,0.460617,0.1667,0.8333,-1.5278,167.5417,blueberry.tarte_tatin.area factor=0.9443 delta=0.0
