rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.447722,0.5,0.5,-0.5271,172.5,0.858283,0.64675,0.9643,soft nerf blueberry.pie.power + rework raspberry.scone (offense): blueberry.pie.power factor=0.9818 delta=0.0 | raspberry.scone.cost factor=0.973 delta=0.0 | raspberry.scone.hp factor=1.0204 delta=0.0 | raspberry.scone.speed factor=1.0111 delta=0.0 | raspberry.scone.cooldown factor=0.9908 delta=0.0 | raspberry.scone.power factor=1.0352 delta=0.0 | raspberry.scone.range factor=1.0117 delta=0.0
2,0.50572,0.4642,0.5357,-0.3636,173.6591,0.95,0.0,1.0,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.hp factor=0.9854 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9695 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0278 delta=0.0 | blueberry.tarte_tatin.speed factor=1.013 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.989 delta=0.0 | blueberry.tarte_tatin.power factor=1.0241 delta=0.0 | blueberry.tarte_tatin.range factor=1.0078 delta=0.0 | blueberry.tarte_tatin.area factor=1.0111 delta=0.0
3,0.587969,0.3929,0.6071,-0.6363,172.6515,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via tarte_tatin (offense): blueberry.pie.hp factor=0.9854 delta=0.0 | blueberry.tarte_tatin.cost factor=0.973 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0204 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0111 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9908 delta=0.0 | blueberry.tarte_tatin.power factor=1.0352 delta=0.0 | blueberry.tarte_tatin.range factor=1.0117 delta=0.0 | blueberry.tarte_tatin.area factor=1.0167 delta=0.0
4,0.594853,0.3571,0.6429,-0.8463,173.5119,0.784928,1.33575,0.9286,soft nerf blueberry.pie.hp + rework raspberry.scone (tempo): blueberry.pie.hp factor=0.9854 delta=0.0 | raspberry.scone.cost factor=0.9643 delta=0.0 | raspberry.scone.hp factor=1.0204 delta=0.0 | raspberry.scone.speed factor=1.0222 delta=0.0 | raspberry.scone.cooldown factor=0.9836 delta=0.0 | raspberry.scone.power factor=1.0204 delta=0.0 | raspberry.scone.range factor=1.0065 delta=0.0
5,0.600173,0.3929,0.6072,-0.7409,173.6195,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.hp factor=0.9854 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9643 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0204 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0222 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9836 delta=0.0 | blueberry.tarte_tatin.power factor=1.0204 delta=0.0 | blueberry.tarte_tatin.range factor=1.0065 delta=0.0 | blueberry.tarte_tatin.area factor=1.0093 delta=0.0
6,0.611951,0.3928,0.6072,-0.841,174.308,0.903632,0.5833,0.98215,soft nerf blueberry.pie.speed + rework raspberry.scone (tempo): blueberry.pie.speed factor=0.9872 delta=0.0 | raspberry.scone.cost factor=0.9643 delta=0.0 | raspberry.scone.hp factor=1.0204 delta=0.0 | raspberry.scone.speed factor=1.0222 delta=0.0 | raspberry.scone.cooldown factor=0.9836 delta=0.0 | raspberry.scone.power factor=1.0204 delta=0.0 | raspberry.scone.range factor=1.0065 delta=0.0
7,0.632402,0.3929,0.6072,-0.8383,172.6103,0.95,0.0,1.0,soft nerf blueberry.pie.speed + rework raspberry.scone (offense): blueberry.pie.speed factor=0.9872 delta=0.0 | raspberry.scone.cost factor=0.973 delta=0.0 | raspberry.scone.hp factor=1.0204 delta=0.0 | raspberry.scone.speed factor=1.0111 delta=0.0 | raspberry.scone.cooldown factor=0.9908 delta=0.0 | raspberry.scone.power factor=1.0352 delta=0.0 | raspberry.scone.range factor=1.0117 delta=0.0
8,0.655625,0.3571,0.6429,-1.0882,169.9338,0.857264,1.1666,0.9643,soft nerf blueberry.pie.power + rework raspberry.scone (balanced): blueberry.pie.power factor=0.9818 delta=0.0 | raspberry.scone.cost factor=0.9695 delta=0.0 | raspberry.scone.hp factor=1.0278 delta=0.0 | raspberry.scone.speed factor=1.013 delta=0.0 | raspberry.scone.cooldown factor=0.989 delta=0.0 | raspberry.scone.power factor=1.0241 delta=0.0 | raspberry.scone.range factor=1.0078 delta=0.0
9,0.678309,0.3214,0.6786,-0.9727,175.2013,0.858283,0.64675,0.9643,reduce blueberry swarm_focus via pie.speed + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.speed factor=0.9872 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9695 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0278 delta=0.0 | blueberry.tarte_tatin.speed factor=1.013 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.989 delta=0.0 | blueberry.tarte_tatin.power factor=1.0241 delta=0.0 | blueberry.tarte_tatin.range factor=1.0078 delta=0.0 | blueberry.tarte_tatin.area factor=1.0111 delta=0.0
10,0.704915,0.2857,0.7143,-1.0736,171.1691,0.811915,1.23005,0.94645,soft nerf blueberry.pie.hp + rework raspberry.scone (balanced): blueberry.pie.hp factor=0.9854 delta=0.0 | raspberry.scone.cost factor=0.9695 delta=0.0 | raspberry.scone.hp factor=1.0278 delta=0.0 | raspberry.scone.speed factor=1.013 delta=0.0 | raspberry.scone.cooldown factor=0.989 delta=0.0 | raspberry.scone.power factor=1.0241 delta=0.0 | raspberry.scone.range factor=1.0078 delta=0.0
11,0.710802,0.3215,0.6785,-0.8983,172.7862,0.95,0.0,1.0,soft nerf blueberry.pie.hp + rework raspberry.scone (offense): blueberry.pie.hp factor=0.9854 delta=0.0 | raspberry.scone.cost factor=0.973 delta=0.0 | raspberry.scone.hp factor=1.0204 delta=0.0 | raspberry.scone.speed factor=1.0111 delta=0.0 | raspberry.scone.cooldown factor=0.9908 delta=0.0 | raspberry.scone.power factor=1.0352 delta=0.0 | raspberry.scone.range factor=1.0117 delta=0.0
