iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,patch_added,stopped
1,0.0,1.0,-3.0,97.625,0.75,blueberry.tarte_tatin.power factor=0.7921 delta=0.0,False
2,0.0,1.0,-3.0,96.375,0.75,blueberry.tarte_tatin.cost factor=1.2625 delta=0.0,False
3,0.0,1.0,-1.3333,126.1667,0.611108,blueberry.pie.power factor=0.7921 delta=0.0,False
4,0.0,1.0,-1.0,130.0,0.583333,blueberry.tarte_tatin.power factor=0.7921 delta=0.0,False
5,1.0,0.0,2.0,138.875,0.666667,raspberry.pie.speed factor=0.8448 delta=0.0,False
6,1.0,0.0,1.2461,166.0974,0.603842,raspberry.scone.speed factor=0.8448 delta=0.0,False
7,1.0,0.0,2.0,143.375,0.666667,raspberry.pie.cost factor=1.2625 delta=0.0,False
8,0.0,1.0,-1.0,112.0525,0.583333,blueberry.tarte_tatin.area factor=0.7921 delta=0.0,False
9,1.0,0.0,-0.3333,137.25,0.527775,raspberry.tart.power factor=0.7921 delta=0.0,False
10,0.0,1.0,0.3333,162.1667,0.527775,blueberry.pie.hp factor=0.8264 delta=0.0,False
11,1.0,0.0,-0.3333,163.9167,0.527775,raspberry.scone.speed factor=0.8448 delta=0.0,False
12,1.0,0.0,1.575,131.9464,0.63125,raspberry.scone.power factor=0.7921 delta=0.0,False
13,0.0,1.0,-3.0,52.75,0.75,blueberry.scone.power factor=0.7921 delta=0.0,False
14,0.0,1.0,-1.6667,129.5,0.638892,blueberry.scone.speed factor=0.8448 delta=0.0,False
15,0.0,1.0,-2.0,139.3333,0.666667,blueberry.pie.cost factor=1.2625 delta=0.0,False
16,0.1533,0.8467,-0.6911,135.8844,0.404292,blueberry.tarte_tatin.hp factor=0.8457 delta=0.0,False
17,0.0,1.0,-1.6667,139.3333,0.638892,blueberry.pie.speed factor=0.8448 delta=0.0,False
18,0.0,1.0,-1.5101,149.4902,0.625842,blueberry.tarte_tatin.speed factor=0.8448 delta=0.0,False
19,1.0,0.0,3.0,97.75,0.75,raspberry.scone.cost factor=1.2625 delta=0.0,False
20,1.0,0.0,3.0,74.5,0.75,raspberry.tart.speed factor=0.8448 delta=0.0,False
