raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.8375,0.1625,1.484,154.4176,tank_focus,tank_focus,0.762791
tank_focus,ranged_focus,0.2125,0.7875,-1.1095,157.7687,tank_focus,mixed_composition,0.336744
tank_focus,swarm_focus,0.1875,0.8125,-1.1762,141.6969,tank_focus,swarm_focus,0.525904
tank_focus,special_focus,0.0,1.0,-2.925,164.4625,tank_focus,swarm_focus,0.502809
tank_focus,upgrade_focus,0.0,1.0,-2.7515,152.2939,tank_focus,swarm_focus,0.502809
tank_focus,mixed,0.05,0.95,-2.0611,159.0861,tank_focus,swarm_focus,0.497153
ranged_focus,tank_focus,1.0,0.0,2.7716,164.4352,mixed_composition,tank_focus,0.528447
ranged_focus,ranged_focus,0.9375,0.0625,1.8462,173.728,mixed_composition,ranged_focus,0.562446
ranged_focus,swarm_focus,1.0,0.0,2.9562,156.5656,mixed_composition,swarm_focus,0.528447
ranged_focus,special_focus,0.5625,0.4375,0.1015,178.0457,mixed_composition,mixed_composition,0.645768
ranged_focus,upgrade_focus,0.725,0.275,0.9738,169.8613,mixed_composition,mixed_composition,0.590694
ranged_focus,mixed,0.9125,0.0875,1.7874,175.7529,mixed_composition,mixed_composition,0.781372
swarm_focus,tank_focus,0.9875,0.0125,2.6667,141.7768,swarm_focus,tank_focus,0.502809
swarm_focus,ranged_focus,0.0,1.0,-2.8896,133.4172,swarm_focus,swarm_focus,0.703074
swarm_focus,swarm_focus,0.95,0.05,2.1921,148.2288,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.5062,172.2315,swarm_focus,swarm_focus,0.719618
swarm_focus,upgrade_focus,0.0,1.0,-2.8704,149.5679,swarm_focus,swarm_focus,0.888366
swarm_focus,mixed,0.0,1.0,-2.5059,160.4412,swarm_focus,swarm_focus,0.95
special_focus,tank_focus,0.7625,0.2375,0.9474,165.2789,special_focus,tank_focus,0.487128
special_focus,ranged_focus,0.175,0.825,-1.4845,137.2938,special_focus,mixed_composition,0.352436
special_focus,swarm_focus,0.1125,0.8875,-1.7701,127.2754,special_focus,swarm_focus,0.525904
special_focus,special_focus,0.0,1.0,-3.0,124.9688,special_focus,swarm_focus,0.407367
special_focus,upgrade_focus,0.0,1.0,-2.7805,138.9634,special_focus,swarm_focus,0.424374
special_focus,mixed,0.025,0.975,-2.432,134.1538,special_focus,swarm_focus,0.407367
upgrade_focus,tank_focus,1.0,0.0,2.882,161.6522,mixed_composition,tank_focus,0.531034
upgrade_focus,ranged_focus,0.9625,0.0375,2.1552,165.7759,mixed_composition,ranged_focus,0.553605
upgrade_focus,swarm_focus,1.0,0.0,2.7791,157.8252,mixed_composition,swarm_focus,0.525904
upgrade_focus,special_focus,0.1875,0.8125,-1.3138,178.5851,mixed_composition,mixed_composition,0.631505
upgrade_focus,upgrade_focus,0.6375,0.3625,0.397,170.9397,mixed_composition,swarm_focus,0.521961
upgrade_focus,mixed,0.9,0.1,1.4722,173.8861,mixed_composition,mixed_composition,0.720513
mixed,tank_focus,1.0,0.0,2.7561,154.75,mixed_composition,tank_focus,0.528447
mixed,ranged_focus,0.7,0.3,0.7143,163.3571,mixed_composition,mixed_composition,0.557176
mixed,swarm_focus,1.0,0.0,2.7963,156.6821,mixed_composition,swarm_focus,0.525904
mixed,special_focus,0.0125,0.9875,-2.0523,175.8169,mixed_composition,swarm_focus,0.585287
mixed,upgrade_focus,0.3125,0.6875,-0.5343,162.4118,mixed_composition,swarm_focus,0.525223
mixed,mixed,0.675,0.325,0.6094,172.8411,mixed_composition,swarm_focus,0.583806
