rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.197346,0.5,0.5,0.2286,177.4072,0.682703,1.55285,0.83925,soft nerf raspberry.pie.power + rework blueberry.scone (balanced): raspberry.pie.power factor=0.9779 delta=0.0 | blueberry.scone.cost factor=0.963 delta=0.0 | blueberry.scone.hp factor=1.0339 delta=0.0 | blueberry.scone.speed factor=1.0158 delta=0.0 | blueberry.scone.cooldown factor=0.9866 delta=0.0 | blueberry.scone.power factor=1.0294 delta=0.0 | blueberry.scone.range factor=1.0095 delta=0.0
2,0.204153,0.5,0.5,0.1458,175.8975,0.748572,1.34955,0.91075,soft nerf raspberry.pie.cost + rework blueberry.scone (balanced): raspberry.pie.cost factor=1.0226 delta=0.0 | blueberry.scone.cost factor=0.963 delta=0.0 | blueberry.scone.hp factor=1.0339 delta=0.0 | blueberry.scone.speed factor=1.0158 delta=0.0 | blueberry.scone.cooldown factor=0.9866 delta=0.0 | blueberry.scone.power factor=1.0294 delta=0.0 | blueberry.scone.range factor=1.0095 delta=0.0
3,0.231811,0.5,0.5,0.3293,177.7311,0.773572,1.34955,0.91075,reduce raspberry swarm_focus via pie.power + enable ranged_focus via tart (balanced): raspberry.pie.power factor=0.9779 delta=0.0 | raspberry.tart.cost factor=0.963 delta=0.0 | raspberry.tart.hp factor=1.0339 delta=0.0 | raspberry.tart.speed factor=1.0158 delta=0.0 | raspberry.tart.cooldown factor=0.9866 delta=0.0 | raspberry.tart.power factor=1.0294 delta=0.0 | raspberry.tart.range factor=1.0095 delta=0.0 | raspberry.tart.area factor=1.0136 delta=0.0
4,0.266578,0.5357,0.4643,0.3128,175.6519,0.777539,1.3368,0.9107,soft nerf raspberry.pie.hp + rework blueberry.scone (balanced): raspberry.pie.hp factor=0.9822 delta=0.0 | blueberry.scone.cost factor=0.963 delta=0.0 | blueberry.scone.hp factor=1.0339 delta=0.0 | blueberry.scone.speed factor=1.0158 delta=0.0 | blueberry.scone.cooldown factor=0.9866 delta=0.0 | blueberry.scone.power factor=1.0294 delta=0.0 | blueberry.scone.range factor=1.0095 delta=0.0
5,0.29392,0.5357,0.4643,0.4735,176.329,0.811915,1.23005,0.94645,soft nerf raspberry.pie.power + rework blueberry.scone (tempo): raspberry.pie.power factor=0.9779 delta=0.0 | blueberry.scone.cost factor=0.9567 delta=0.0 | blueberry.scone.hp factor=1.0249 delta=0.0 | blueberry.scone.speed factor=1.0272 delta=0.0 | blueberry.scone.cooldown factor=0.98 delta=0.0 | blueberry.scone.power factor=1.0249 delta=0.0 | blueberry.scone.range factor=1.0079 delta=0.0
6,0.328733,0.5715,0.4285,0.2685,178.0945,0.903632,0.5833,0.98215,soft nerf raspberry.pie.power + rework blueberry.scone (offense): raspberry.pie.power factor=0.9779 delta=0.0 | blueberry.scone.cost factor=0.9672 delta=0.0 | blueberry.scone.hp factor=1.0249 delta=0.0 | blueberry.scone.speed factor=1.0136 delta=0.0 | blueberry.scone.cooldown factor=0.9888 delta=0.0 | blueberry.scone.power factor=1.043 delta=0.0 | blueberry.scone.range factor=1.0143 delta=0.0
7,0.376499,0.6072,0.3928,0.6745,176.162,0.762428,1.38265,0.89285,reduce raspberry swarm_focus via pie.power + enable ranged_focus via tart (tempo): raspberry.pie.power factor=0.9779 delta=0.0 | raspberry.tart.cost factor=0.9567 delta=0.0 | raspberry.tart.hp factor=1.0249 delta=0.0 | raspberry.tart.speed factor=1.0272 delta=0.0 | raspberry.tart.cooldown factor=0.98 delta=0.0 | raspberry.tart.power factor=1.0249 delta=0.0 | raspberry.tart.range factor=1.0079 delta=0.0 | raspberry.tart.area factor=1.0113 delta=0.0
8,0.477553,0.6786,0.3214,0.6261,177.508,0.903632,0.5833,0.98215,soft nerf raspberry.pie.cost + rework blueberry.scone (offense): raspberry.pie.cost factor=1.0226 delta=0.0 | blueberry.scone.cost factor=0.9672 delta=0.0 | blueberry.scone.hp factor=1.0249 delta=0.0 | blueberry.scone.speed factor=1.0136 delta=0.0 | blueberry.scone.cooldown factor=0.9888 delta=0.0 | blueberry.scone.power factor=1.043 delta=0.0 | blueberry.scone.range factor=1.0143 delta=0.0
9,0.481291,0.6786,0.3214,0.7575,175.697,0.857264,1.1666,0.9643,soft nerf raspberry.pie.cost + rework blueberry.scone (tempo): raspberry.pie.cost factor=1.0226 delta=0.0 | blueberry.scone.cost factor=0.9567 delta=0.0 | blueberry.scone.hp factor=1.0249 delta=0.0 | blueberry.scone.speed factor=1.0272 delta=0.0 | blueberry.scone.cooldown factor=0.98 delta=0.0 | blueberry.scone.power factor=1.0249 delta=0.0 | blueberry.scone.range factor=1.0079 delta=0.0
10,0.531973,0.75,0.25,0.6514,176.9382,0.823906,0.7535,0.92855,reduce raspberry swarm_focus via pie.power + enable ranged_focus via tart (offense): raspberry.pie.power factor=0.9779 delta=0.0 | raspberry.tart.cost factor=0.9672 delta=0.0 | raspberry.tart.hp factor=1.0249 delta=0.0 | raspberry.tart.speed factor=1.0136 delta=0.0 | raspberry.tart.cooldown factor=0.9888 delta=0.0 | raspberry.tart.power factor=1.043 delta=0.0 | raspberry.tart.range factor=1.0143 delta=0.0 | raspberry.tart.area factor=1.0204 delta=0.0
