rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.319852,0.5715,0.4285,0.3739,175.3665,0.818921,1.2861,0.9286,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.953 delta=0.0 | blueberry.pannacotta.hp factor=1.0435 delta=0.0 | blueberry.pannacotta.speed factor=1.0203 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9829 delta=0.0 | blueberry.pannacotta.power factor=1.0377 delta=0.0 | blueberry.pannacotta.range factor=1.0122 delta=0.0 | blueberry.pannacotta.area factor=1.0174 delta=0.0
2,0.359316,0.5715,0.4285,0.63,175.9098,0.857264,1.1666,0.9643,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9773 delta=0.0 | blueberry.pannacotta.cost factor=0.9583 delta=0.0 | blueberry.pannacotta.hp factor=1.0319 delta=0.0 | blueberry.pannacotta.speed factor=1.0174 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9857 delta=0.0 | blueberry.pannacotta.power factor=1.0551 delta=0.0 | blueberry.pannacotta.range factor=1.0183 delta=0.0 | blueberry.pannacotta.area factor=1.0261 delta=0.0
3,0.467085,0.6785,0.3215,0.8695,175.9012,0.748572,1.34955,0.91075,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (tempo): raspberry.pie.power factor=0.9718 delta=0.0 | raspberry.scone.cost factor=0.9452 delta=0.0 | raspberry.scone.hp factor=1.0319 delta=0.0 | raspberry.scone.speed factor=1.0348 delta=0.0 | raspberry.scone.cooldown factor=0.9746 delta=0.0 | raspberry.scone.power factor=1.0319 delta=0.0 | raspberry.scone.range factor=1.0102 delta=0.0
4,0.537473,0.7143,0.2857,0.8337,178.0719,0.903632,0.5833,0.98215,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (balanced): raspberry.pie.power factor=0.9718 delta=0.0 | raspberry.scone.cost factor=0.953 delta=0.0 | raspberry.scone.hp factor=1.0435 delta=0.0 | raspberry.scone.speed factor=1.0203 delta=0.0 | raspberry.scone.cooldown factor=0.9829 delta=0.0 | raspberry.scone.power factor=1.0377 delta=0.0 | raspberry.scone.range factor=1.0122 delta=0.0
5,0.54295,0.75,0.25,0.9744,175.7019,0.717079,1.4461,0.875,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.9583 delta=0.0 | blueberry.pannacotta.hp factor=1.0319 delta=0.0 | blueberry.pannacotta.speed factor=1.0174 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9857 delta=0.0 | blueberry.pannacotta.power factor=1.0551 delta=0.0 | blueberry.pannacotta.range factor=1.0183 delta=0.0 | blueberry.pannacotta.area factor=1.0261 delta=0.0
6,0.619424,0.7857,0.2143,1.0671,177.4167,0.836915,1.23005,0.94645,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9773 delta=0.0 | blueberry.pannacotta.cost factor=0.9452 delta=0.0 | blueberry.pannacotta.hp factor=1.0319 delta=0.0 | blueberry.pannacotta.speed factor=1.0348 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9746 delta=0.0 | blueberry.pannacotta.power factor=1.0319 delta=0.0 | blueberry.pannacotta.range factor=1.0102 delta=0.0 | blueberry.pannacotta.area factor=1.0145 delta=0.0
7,0.647371,0.8214,0.1786,1.1514,171.4207,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.hp + rework blueberry.scone (balanced): raspberry.macaron.hp factor=0.9773 delta=0.0 | blueberry.scone.cost factor=0.953 delta=0.0 | blueberry.scone.hp factor=1.0435 delta=0.0 | blueberry.scone.speed factor=1.0203 delta=0.0 | blueberry.scone.cooldown factor=0.9829 delta=0.0 | blueberry.scone.power factor=1.0377 delta=0.0 | blueberry.scone.range factor=1.0122 delta=0.0
8,0.662148,0.7857,0.2143,1.3897,172.7027,0.857264,1.1666,0.9643,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (offense): raspberry.pie.power factor=0.9718 delta=0.0 | raspberry.scone.cost factor=0.9583 delta=0.0 | raspberry.scone.hp factor=1.0319 delta=0.0 | raspberry.scone.speed factor=1.0174 delta=0.0 | raspberry.scone.cooldown factor=0.9857 delta=0.0 | raspberry.scone.power factor=1.0551 delta=0.0 | raspberry.scone.range factor=1.0183 delta=0.0
9,0.663861,0.7857,0.2143,1.4022,173.4352,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (tempo): raspberry.macaron.speed factor=0.9801 delta=0.0 | blueberry.pannacotta.cost factor=0.9452 delta=0.0 | blueberry.pannacotta.hp factor=1.0319 delta=0.0 | blueberry.pannacotta.speed factor=1.0348 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9746 delta=0.0 | blueberry.pannacotta.power factor=1.0319 delta=0.0 | blueberry.pannacotta.range factor=1.0102 delta=0.0 | blueberry.pannacotta.area factor=1.0145 delta=0.0
10,0.692196,0.8214,0.1786,1.2419,174.2725,0.903632,0.5833,0.98215,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9773 delta=0.0 | blueberry.pannacotta.cost factor=0.953 delta=0.0 | blueberry.pannacotta.hp factor=1.0435 delta=0.0 | blueberry.pannacotta.speed factor=1.0203 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9829 delta=0.0 | blueberry.pannacotta.power factor=1.0377 delta=0.0 | blueberry.pannacotta.range factor=1.0122 delta=0.0 | blueberry.pannacotta.area factor=1.0174 delta=0.0
