raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.5625,0.4375,0.125,155.6058,tank_focus,tank_focus,0.60469
tank_focus,ranged_focus,0.0,1.0,-2.975,128.5437,tank_focus,mixed_composition,0.314201
tank_focus,swarm_focus,0.0375,0.9625,-2.4941,124.6618,tank_focus,swarm_focus,0.444336
tank_focus,special_focus,0.0,1.0,-3.0,138.975,tank_focus,swarm_focus,0.355268
tank_focus,upgrade_focus,0.0,1.0,-2.9625,134.3625,tank_focus,swarm_focus,0.433146
tank_focus,mixed,0.0,1.0,-2.9813,131.6031,tank_focus,swarm_focus,0.448743
ranged_focus,tank_focus,1.0,0.0,2.9813,159.8938,swarm_focus,tank_focus,0.371725
ranged_focus,ranged_focus,0.9625,0.0375,2.0632,176.8994,mixed_composition,ranged_focus,0.358651
ranged_focus,swarm_focus,1.0,0.0,2.9188,160.3719,swarm_focus,swarm_focus,0.79755
ranged_focus,special_focus,0.925,0.075,1.5684,176.5605,mixed_composition,mixed_composition,0.691581
ranged_focus,upgrade_focus,1.0,0.0,2.4578,173.5512,swarm_focus,mixed_composition,0.592228
ranged_focus,mixed,0.9875,0.0125,2.485,173.7096,mixed_composition,mixed_composition,0.579782
swarm_focus,tank_focus,0.875,0.125,1.6053,147.6763,swarm_focus,tank_focus,0.424374
swarm_focus,ranged_focus,0.0,1.0,-2.9937,124.5781,swarm_focus,swarm_focus,0.645431
swarm_focus,swarm_focus,0.325,0.675,-0.7552,150.625,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.95,158.0062,swarm_focus,swarm_focus,0.731435
swarm_focus,upgrade_focus,0.0125,0.9875,-2.8344,144.411,swarm_focus,swarm_focus,0.879391
swarm_focus,mixed,0.0,1.0,-2.9503,141.5621,swarm_focus,swarm_focus,0.888366
special_focus,tank_focus,0.2375,0.7625,-0.9198,103.8262,mixed_composition,tank_focus,0.351884
special_focus,ranged_focus,0.0,1.0,-2.6098,107.0,special_focus,mixed_composition,0.311113
special_focus,swarm_focus,0.05,0.95,-2.2286,125.3086,mixed_composition,swarm_focus,0.428779
special_focus,special_focus,0.0,1.0,-2.9688,116.3969,special_focus,swarm_focus,0.306328
special_focus,upgrade_focus,0.0,1.0,-2.8086,116.0,special_focus,swarm_focus,0.362575
special_focus,mixed,0.0,1.0,-2.8098,112.3344,special_focus,swarm_focus,0.395506
upgrade_focus,tank_focus,0.9875,0.0125,2.4152,154.7018,swarm_focus,tank_focus,0.367661
upgrade_focus,ranged_focus,0.2625,0.7375,-1.0402,152.6055,mixed_composition,mixed_composition,0.40672
upgrade_focus,swarm_focus,0.8375,0.1625,1.159,170.0231,swarm_focus,swarm_focus,0.713845
upgrade_focus,special_focus,0.0125,0.9875,-2.0833,172.7262,mixed_composition,mixed_composition,0.497495
upgrade_focus,upgrade_focus,0.3375,0.6625,-0.6667,165.5885,mixed_composition,swarm_focus,0.515572
upgrade_focus,mixed,0.275,0.725,-0.8601,165.5259,mixed_composition,swarm_focus,0.571961
mixed,tank_focus,0.9875,0.0125,2.4911,154.9822,swarm_focus,tank_focus,0.383942
mixed,ranged_focus,0.325,0.675,-0.9802,155.7178,mixed_composition,mixed_composition,0.401535
mixed,swarm_focus,0.9375,0.0625,1.8101,172.1201,swarm_focus,swarm_focus,0.85507
mixed,special_focus,0.0125,0.9875,-1.8176,175.5088,mixed_composition,mixed_composition,0.525223
mixed,upgrade_focus,0.2125,0.7875,-1.1385,168.0026,mixed_composition,swarm_focus,0.585287
mixed,mixed,0.35,0.65,-0.6853,166.5533,swarm_focus,swarm_focus,0.588734
