iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,patch_added,stopped
1,0.0,1.0,-3.0,94.75,0.75,blueberry.tarte_tatin.area factor=0.7921 delta=0.0,False
2,0.0,1.0,-1.0,123.25,0.583333,blueberry.tarte_tatin.hp factor=0.8264 delta=0.0,False
3,0.0,1.0,-3.0,116.5,0.75,blueberry.tarte_tatin.cost factor=1.2625 delta=0.0,False
4,0.0,1.0,-1.6667,124.5,0.638892,blueberry.tarte_tatin.speed factor=0.8448 delta=0.0,False
5,0.0,1.0,-3.0,97.02,0.75,blueberry.pie.cost factor=1.2625 delta=0.0,False
6,0.0,1.0,-3.0,125.875,0.75,blueberry.scone.speed factor=0.8448 delta=0.0,False
7,0.9633,0.0367,1.387,139.1846,0.578883,raspberry.pie.power factor=0.7973 delta=0.0,False
8,1.0,0.0,1.0,119.5,0.583333,raspberry.pie.cost factor=1.2625 delta=0.0,False
9,0.0167,0.9833,-1.8116,164.2284,0.634267,blueberry.pie.hp factor=0.8285 delta=0.0,False
10,0.0,1.0,-1.9615,136.8253,0.663458,blueberry.scone.speed factor=0.8448 delta=0.0,False
11,1.0,0.0,1.0,131.4167,0.583333,raspberry.pie.speed factor=0.8448 delta=0.0,False
12,0.0,1.0,-1.0,64.0833,0.583333,blueberry.pie.power factor=0.7921 delta=0.0,False
13,0.0,1.0,-3.0,79.875,0.75,blueberry.scone.power factor=0.7921 delta=0.0,False
14,0.6533,0.3467,0.9871,126.0802,0.235558,raspberry.pie.cost factor=1.1845 delta=0.0,False
15,0.0,1.0,-1.0,76.25,0.583333,blueberry.tarte_tatin.area factor=0.7921 delta=0.0,False
16,1.0,0.0,1.3333,119.6667,0.611108,raspberry.pie.cost factor=1.2625 delta=0.0,False
17,1.0,0.0,1.6667,134.6667,0.638892,raspberry.pie.hp factor=0.8264 delta=0.0,False
18,1.0,0.0,1.0,148.1667,0.583333,raspberry.scone.power factor=0.7921 delta=0.0,False
19,0.0,1.0,-3.0,72.75,0.75,blueberry.baumkuchen.cost factor=1.2625 delta=0.0,False
20,0.0,1.0,-1.2767,88.0486,0.606392,blueberry.scone.power factor=0.7921 delta=0.0,False
