iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,patch_added,stopped
1,0.0083,0.9917,-2.621,151.4718,0.710117,soft nerf blueberry.baumkuchen.cost + rework raspberry.macaron (balanced): blueberry.baumkuchen.cost factor=1.0217 delta=0.0 | raspberry.macaron.cost factor=0.9644 delta=0.0 | raspberry.macaron.hp factor=1.0326 delta=0.0 | raspberry.macaron.speed factor=1.0152 delta=0.0 | raspberry.macaron.cooldown factor=0.9871 delta=0.0 | raspberry.macaron.power factor=1.0282 delta=0.0 | raspberry.macaron.range factor=1.0091 delta=0.0 | raspberry.macaron.area factor=1.013 delta=0.0,False
2,0.0167,0.9833,-2.4788,155.7317,0.689867,soft nerf blueberry.baumkuchen.hp + rework raspberry.scone (balanced): blueberry.baumkuchen.hp factor=0.983 delta=0.0 | raspberry.scone.cost factor=0.9646 delta=0.0 | raspberry.scone.hp factor=1.0323 delta=0.0 | raspberry.scone.speed factor=1.0151 delta=0.0 | raspberry.scone.cooldown factor=0.9872 delta=0.0 | raspberry.scone.power factor=1.028 delta=0.0 | raspberry.scone.range factor=1.0091 delta=0.0,False
3,0.3917,0.6083,-0.4892,169.9263,0.149067,soft nerf blueberry.baumkuchen.speed + rework raspberry.scone (tempo): blueberry.baumkuchen.speed factor=0.9899 delta=0.0 | raspberry.scone.cost factor=0.9718 delta=0.0 | raspberry.scone.hp factor=1.016 delta=0.0 | raspberry.scone.speed factor=1.0174 delta=0.0 | raspberry.scone.cooldown factor=0.9871 delta=0.0 | raspberry.scone.power factor=1.016 delta=0.0 | raspberry.scone.range factor=1.0051 delta=0.0,False
4,0.5333,0.4667,0.3209,173.576,0.060042,,True
