match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,51.5,-3,1,1,blueberry_full_control
1,2,blueberry,180.0,-2,1,1,time
2,1,blueberry,51.5,-3,1,1,blueberry_full_control
2,2,blueberry,180.0,-2,1,1,time
3,1,blueberry,51.5,-3,1,1,blueberry_full_control
3,2,blueberry,180.0,-2,1,1,time
4,1,blueberry,51.5,-3,1,1,blueberry_full_control
4,2,blueberry,180.0,-2,1,1,time
5,1,blueberry,51.5,-3,1,1,blueberry_full_control
5,2,blueberry,180.0,-2,1,1,time
6,1,blueberry,51.5,-3,1,1,blueberry_full_control
6,2,blueberry,180.0,-2,1,1,time
7,1,blueberry,51.5,-3,1,1,blueberry_full_control
7,2,blueberry,180.0,-2,1,1,time
8,1,blueberry,51.5,-3,1,1,blueberry_full_control
8,2,blueberry,180.0,-2,1,1,time
9,1,blueberry,51.5,-3,1,1,blueberry_full_control
9,2,blueberry,180.0,-2,1,1,time
10,1,blueberry,51.5,-3,1,1,blueberry_full_control
10,2,blueberry,180.0,-2,1,1,time
11,1,blueberry,51.5,-3,1,1,blueberry_full_control
11,2,blueberry,180.0,-2,1,1,time
12,1,blueberry,51.5,-3,1,1,blueberry_full_control
12,2,blueberry,180.0,-2,1,1,time
13,1,blueberry,51.5,-3,1,1,blueberry_full_control
13,2,blueberry,180.0,-2,1,1,time
14,1,blueberry,51.5,-3,1,1,blueberry_full_control
14,2,blueberry,180.0,-2,1,1,time
15,1,blueberry,51.5,-3,1,1,blueberry_full_control
15,2,blueberry,180.0,-2,1,1,time
16,1,blueberry,51.5,-3,1,1,blueberry_full_control
16,2,blueberry,180.0,-2,1,1,time
17,1,blueberry,51.5,-3,1,1,blueberry_full_control
17,2,blueberry,180.0,-2,1,1,time
18,1,blueberry,51.5,-3,1,1,blueberry_full_control
18,2,blueberry,180.0,-2,1,1,time
19,1,blueberry,51.5,-3,1,1,blueberry_full_control
19,2,blueberry,180.0,-2,1,1,time
20,1,blueberry,51.5,-3,1,1,blueberry_full_control
20,2,blueberry,180.0,-2,1,1,time
21,1,blueberry,51.5,-3,1,1,blueberry_full_control
21,2,blueberry,180.0,-2,1,1,time
22,1,blueberry,51.5,-3,1,1,blueberry_full_control
22,2,blueberry,180.0,-2,1,1,time
23,1,blueberry,51.5,-3,1,1,blueberry_full_control
23,2,blueberry,180.0,-2,1,1,time
24,1,blueberry,51.5,-3,1,1,blueberry_full_control
24,2,blueberry,180.0,-2,1,1,time
25,1,blueberry,51.5,-3,1,1,blueberry_full_control
25,2,blueberry,180.0,-2,1,1,time
26,1,blueberry,51.5,-3,1,1,blueberry_full_control
26,2,blueberry,180.0,-2,1,1,time
27,1,blueberry,51.5,-3,1,1,blueberry_full_control
27,2,blueberry,180.0,-2,1,1,time
28,1,blueberry,51.5,-3,1,1,blueberry_full_control
28,2,blueberry,180.0,-2,1,1,time
29,1,blueberry,51.5,-3,1,1,blueberry_full_control
29,2,blueberry,180.0,-2,1,1,time
30,1,blueberry,51.5,-3,1,1,blueberry_full_control
30,2,blueberry,180.0,-2,1,1,time
31,1,blueberry,51.5,-3,1,1,blueberry_full_control
31,2,blueberry,180.0,-2,1,1,time
32,1,blueberry,51.5,-3,1,1,blueberry_full_control
32,2,blueberry,180.0,-2,1,1,time
33,1,blueberry,51.5,-3,1,1,blueberry_full_control
33,2,blueberry,180.0,-2,1,1,time
34,1,blueberry,51.5,-3,1,1,blueberry_full_control
34,2,blueberry,180.0,-2,1,1,time
35,1,blueberry,51.5,-3,1,1,blueberry_full_control
35,2,blueberry,180.0,-2,1,1,time
36,1,blueberry,51.5,-3,1,1,blueberry_full_control
36,2,blueberry,180.0,-2,1,1,time
37,1,blueberry,51.5,-3,1,1,blueberry_full_control
37,2,blueberry,180.0,-2,1,1,time
38,1,blueberry,51.5,-3,1,1,blueberry_full_control
38,2,blueberry,180.0,-2,1,1,time
39,1,blueberry,51.5,-3,1,1,blueberry_full_control
39,2,blueberry,180.0,-2,1,1,time
40,1,blueberry,51.5,-3,1,1,blueberry_full_control
40,2,blueberry,180.0,-2,1,1,time
41,1,blueberry,51.5,-3,1,1,blueberry_full_control
41,2,blueberry,180.0,-2,1,1,time
42,1,blueberry,51.5,-3,1,1,blueberry_full_control
42,2,blueberry,180.0,-2,1,1,time
43,1,blueberry,51.5,-3,1,1,blueberry_full_control
43,2,blueberry,180.0,-2,1,1,time
44,1,blueberry,51.5,-3,1,1,blueberry_full_control
44,2,blueberry,180.0,-2,1,1,time
45,1,blueberry,51.5,-3,1,1,blueberry_full_control
45,2,blueberry,180.0,-2,1,1,time
46,1,blueberry,51.5,-3,1,1,blueberry_full_control
46,2,blueberry,180.0,-2,1,1,time
47,1,blueberry,51.5,-3,1,1,blueberry_full_control
47,2,blueberry,180.0,-2,1,1,time
48,1,blueberry,51.5,-3,1,1,blueberry_full_control
48,2,blueberry,180.0,-2,1,1,time
49,1,blueberry,51.5,-3,1,1,blueberry_full_control
49,2,blueberry,180.0,-2,1,1,time
50,1,blueberry,51.5,-3,1,1,blueberry_full_control
50,2,blueberry,180.0,-2,1,1,time
51,1,blueberry,51.5,-3,1,1,blueberry_full_control
51,2,blueberry,180.0,-2,1,1,time
52,1,blueberry,51.5,-3,1,1,blueberry_full_control
52,2,blueberry,180.0,-2,1,1,time
53,1,blueberry,51.5,-3,1,1,blueberry_full_control
53,2,blueberry,180.0,-2,1,1,time
54,1,blueberry,51.5,-3,1,1,blueberry_full_control
54,2,blueberry,180.0,-2,1,1,time
55,1,blueberry,51.5,-3,1,1,blueberry_full_control
55,2,blueberry,180.0,-2,1,1,time
56,1,blueberry,51.5,-3,1,1,blueberry_full_control
56,2,blueberry,180.0,-2,1,1,time
57,1,blueberry,51.5,-3,1,1,blueberry_full_control
