team,unit_key,unit_name,produced,kills,damage,healing
raspberry,baumkuchen,바움쿠헨,1281,72,19633.0,0.0
raspberry,macaron,마카롱,641,0,0.0,20605.0
raspberry,pie,파이,5150,1658,329584.0,0.0
raspberry,scone,스콘,379,801,149540.0,0.0
raspberry,tart,타르트,966,633,180184.0,0.0
blueberry,baumkuchen,바움쿠헨,1238,538,101010.0,0.0
blueberry,pannacotta,판나코타,706,894,388000.0,0.0
blueberry,pie,파이,5210,3288,668430.0,0.0
blueberry,scone,스콘,420,987,217050.0,0.0
blueberry,tarte_tatin,타르트·타탱,1580,2058,567100.0,0.0
