rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.28589,0.5,0.5,-0.2031,162.5557,0.689988,1.52415,0.8393,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (balanced): blueberry.pie.hp factor=0.987 delta=0.0 | blueberry.scone.cost factor=0.9729 delta=0.0 | blueberry.scone.hp factor=1.0246 delta=0.0 | blueberry.scone.speed factor=1.0115 delta=0.0 | blueberry.scone.cooldown factor=0.9903 delta=0.0 | blueberry.scone.power factor=1.0213 delta=0.0 | blueberry.scone.range factor=1.0069 delta=0.0
2,0.319301,0.5,0.5,0.1025,163.7377,0.808796,0.79935,0.9107,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0164 delta=0.0 | blueberry.pannacotta.cost factor=0.976 delta=0.0 | blueberry.pannacotta.hp factor=1.018 delta=0.0 | blueberry.pannacotta.speed factor=1.0098 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9919 delta=0.0 | blueberry.pannacotta.power factor=1.0312 delta=0.0 | blueberry.pannacotta.range factor=1.0103 delta=0.0 | blueberry.pannacotta.area factor=1.0148 delta=0.0
3,0.328341,0.5,0.5,-0.0188,166.3456,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.987 delta=0.0 | blueberry.pannacotta.cost factor=0.9729 delta=0.0 | blueberry.pannacotta.hp factor=1.0246 delta=0.0 | blueberry.pannacotta.speed factor=1.0115 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9903 delta=0.0 | blueberry.pannacotta.power factor=1.0213 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0098 delta=0.0
4,0.341732,0.4643,0.5357,-0.2969,167.8338,0.714195,1.4563,0.875,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.9729 delta=0.0 | blueberry.pannacotta.hp factor=1.0246 delta=0.0 | blueberry.pannacotta.speed factor=1.0115 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9903 delta=0.0 | blueberry.pannacotta.power factor=1.0213 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0098 delta=0.0
5,0.351756,0.5715,0.4285,0.0226,169.5007,0.730578,1.4056,0.8929,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): blueberry.pie.cost factor=1.0164 delta=0.0 | blueberry.scone.cost factor=0.9682 delta=0.0 | blueberry.scone.hp factor=1.018 delta=0.0 | blueberry.scone.speed factor=1.0197 delta=0.0 | blueberry.scone.cooldown factor=0.9854 delta=0.0 | blueberry.scone.power factor=1.018 delta=0.0 | blueberry.scone.range factor=1.0057 delta=0.0
6,0.367778,0.4642,0.5357,-0.201,160.6727,0.811915,1.23005,0.94645,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (offense): blueberry.pie.cost factor=1.0164 delta=0.0 | blueberry.scone.cost factor=0.976 delta=0.0 | blueberry.scone.hp factor=1.018 delta=0.0 | blueberry.scone.speed factor=1.0098 delta=0.0 | blueberry.scone.cooldown factor=0.9919 delta=0.0 | blueberry.scone.power factor=1.0312 delta=0.0 | blueberry.scone.range factor=1.0103 delta=0.0
7,0.403651,0.5715,0.4285,-0.4088,166.5511,0.748572,1.34955,0.91075,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0164 delta=0.0 | blueberry.pannacotta.cost factor=0.9682 delta=0.0 | blueberry.pannacotta.hp factor=1.018 delta=0.0 | blueberry.pannacotta.speed factor=1.0197 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9854 delta=0.0 | blueberry.pannacotta.power factor=1.018 delta=0.0 | blueberry.pannacotta.range factor=1.0057 delta=0.0 | blueberry.pannacotta.area factor=1.0082 delta=0.0
8,0.414894,0.6429,0.3571,0.0585,164.7523,0.697813,1.507,0.8571,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.976 delta=0.0 | blueberry.pannacotta.hp factor=1.018 delta=0.0 | blueberry.pannacotta.speed factor=1.0098 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9919 delta=0.0 | blueberry.pannacotta.power factor=1.0312 delta=0.0 | blueberry.pannacotta.range factor=1.0103 delta=0.0 | blueberry.pannacotta.area factor=1.0148 delta=0.0
9,0.491173,0.6428,0.3571,0.1905,169.324,0.858283,0.64675,0.9643,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): blueberry.pie.cost factor=1.0164 delta=0.0 | blueberry.scone.cost factor=0.9729 delta=0.0 | blueberry.scone.hp factor=1.0246 delta=0.0 | blueberry.scone.speed factor=1.0115 delta=0.0 | blueberry.scone.cooldown factor=0.9903 delta=0.0 | blueberry.scone.power factor=1.0213 delta=0.0 | blueberry.scone.range factor=1.0069 delta=0.0
10,0.584933,0.7143,0.2857,0.3813,167.1269,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.987 delta=0.0 | blueberry.pannacotta.cost factor=0.976 delta=0.0 | blueberry.pannacotta.hp factor=1.018 delta=0.0 | blueberry.pannacotta.speed factor=1.0098 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9919 delta=0.0 | blueberry.pannacotta.power factor=1.0312 delta=0.0 | blueberry.pannacotta.range factor=1.0103 delta=0.0 | blueberry.pannacotta.area factor=1.0148 delta=0.0
