rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.656287,0.1071,0.8928,-2.2576,147.6184,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (tempo): blueberry.baumkuchen.power factor=0.9621 delta=0.0 | raspberry.macaron.cost factor=0.927 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0473 delta=0.0 | raspberry.macaron.cooldown factor=0.9658 delta=0.0 | raspberry.macaron.power factor=1.0433 delta=0.0 | raspberry.macaron.range factor=1.0138 delta=0.0 | raspberry.macaron.area factor=1.0197 delta=0.0
2,0.755372,0.0357,0.9643,-2.4949,146.2497,soft nerf blueberry.baumkuchen.speed + rework raspberry.macaron (balanced): blueberry.baumkuchen.speed factor=0.9732 delta=0.0 | raspberry.macaron.cost factor=0.9373 delta=0.0 | raspberry.macaron.hp factor=1.0591 delta=0.0 | raspberry.macaron.speed factor=1.0276 delta=0.0 | raspberry.macaron.cooldown factor=0.9769 delta=0.0 | raspberry.macaron.power factor=1.0512 delta=0.0 | raspberry.macaron.range factor=1.0165 delta=0.0 | raspberry.macaron.area factor=1.0236 delta=0.0
3,0.762897,0.0357,0.9643,-2.5594,144.6653,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (tempo): blueberry.baumkuchen.hp factor=0.9695 delta=0.0 | raspberry.macaron.cost factor=0.927 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0473 delta=0.0 | raspberry.macaron.cooldown factor=0.9658 delta=0.0 | raspberry.macaron.power factor=1.0433 delta=0.0 | raspberry.macaron.range factor=1.0138 delta=0.0 | raspberry.macaron.area factor=1.0197 delta=0.0
4,0.771122,0.0357,0.9643,-2.6299,142.2957,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (offense): blueberry.baumkuchen.power factor=0.9621 delta=0.0 | raspberry.macaron.cost factor=0.9442 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0236 delta=0.0 | raspberry.macaron.cooldown factor=0.9807 delta=0.0 | raspberry.macaron.power factor=1.0748 delta=0.0 | raspberry.macaron.range factor=1.0248 delta=0.0 | raspberry.macaron.area factor=1.0354 delta=0.0
5,0.783045,0.0357,0.9643,-2.7321,139.4572,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (balanced): blueberry.baumkuchen.power factor=0.9621 delta=0.0 | raspberry.macaron.cost factor=0.9373 delta=0.0 | raspberry.macaron.hp factor=1.0591 delta=0.0 | raspberry.macaron.speed factor=1.0276 delta=0.0 | raspberry.macaron.cooldown factor=0.9769 delta=0.0 | raspberry.macaron.power factor=1.0512 delta=0.0 | raspberry.macaron.range factor=1.0165 delta=0.0 | raspberry.macaron.area factor=1.0236 delta=0.0
6,0.814463,0.0,1.0,-2.6954,141.5009,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (balanced): blueberry.baumkuchen.hp factor=0.9695 delta=0.0 | raspberry.macaron.cost factor=0.9373 delta=0.0 | raspberry.macaron.hp factor=1.0591 delta=0.0 | raspberry.macaron.speed factor=1.0276 delta=0.0 | raspberry.macaron.cooldown factor=0.9769 delta=0.0 | raspberry.macaron.power factor=1.0512 delta=0.0 | raspberry.macaron.range factor=1.0165 delta=0.0 | raspberry.macaron.area factor=1.0236 delta=0.0
7,0.822373,0.0,1.0,-2.7632,145.5342,soft nerf blueberry.baumkuchen.speed + rework raspberry.macaron (offense): blueberry.baumkuchen.speed factor=0.9732 delta=0.0 | raspberry.macaron.cost factor=0.9442 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0236 delta=0.0 | raspberry.macaron.cooldown factor=0.9807 delta=0.0 | raspberry.macaron.power factor=1.0748 delta=0.0 | raspberry.macaron.range factor=1.0248 delta=0.0 | raspberry.macaron.area factor=1.0354 delta=0.0
8,0.829887,0.0,1.0,-2.8276,140.3186,soft nerf blueberry.baumkuchen.hp + rework raspberry.macaron (offense): blueberry.baumkuchen.hp factor=0.9695 delta=0.0 | raspberry.macaron.cost factor=0.9442 delta=0.0 | raspberry.macaron.hp factor=1.0433 delta=0.0 | raspberry.macaron.speed factor=1.0236 delta=0.0 | raspberry.macaron.cooldown factor=0.9807 delta=0.0 | raspberry.macaron.power factor=1.0748 delta=0.0 | raspberry.macaron.range factor=1.0248 delta=0.0 | raspberry.macaron.area factor=1.0354 delta=0.0
