rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch
1,0.057228,0.4583,0.5417,0.1331,177.4366,soft nerf blueberry.baumkuchen.hp + rework raspberry.tart (tempo): blueberry.baumkuchen.hp factor=0.9603 delta=0.0 | raspberry.tart.cost factor=0.9064 delta=0.0 | raspberry.tart.hp factor=1.0568 delta=0.0 | raspberry.tart.speed factor=1.0619 delta=0.0 | raspberry.tart.cooldown factor=0.9556 delta=0.0 | raspberry.tart.power factor=1.0568 delta=0.0 | raspberry.tart.range factor=1.0181 delta=0.0 | raspberry.tart.area factor=1.0258 delta=0.0
2,0.062677,0.5417,0.4583,0.1798,171.7274,soft nerf blueberry.baumkuchen.speed + rework raspberry.tart (offense): blueberry.baumkuchen.speed factor=0.9651 delta=0.0 | raspberry.tart.cost factor=0.9281 delta=0.0 | raspberry.tart.hp factor=1.0568 delta=0.0 | raspberry.tart.speed factor=1.031 delta=0.0 | raspberry.tart.cooldown factor=0.9748 delta=0.0 | raspberry.tart.power factor=1.0981 delta=0.0 | raspberry.tart.range factor=1.0325 delta=0.0 | raspberry.tart.area factor=1.0465 delta=0.0
3,0.09641,0.5416,0.4584,0.4698,169.1844,soft nerf blueberry.baumkuchen.hp + rework raspberry.tart (balanced): blueberry.baumkuchen.hp factor=0.9603 delta=0.0 | raspberry.tart.cost factor=0.9193 delta=0.0 | raspberry.tart.hp factor=1.0774 delta=0.0 | raspberry.tart.speed factor=1.0361 delta=0.0 | raspberry.tart.cooldown factor=0.97 delta=0.0 | raspberry.tart.power factor=1.0671 delta=0.0 | raspberry.tart.range factor=1.0217 delta=0.0 | raspberry.tart.area factor=1.031 delta=0.0
4,0.198978,0.625,0.375,0.6341,174.2205,soft nerf blueberry.baumkuchen.hp + rework raspberry.tart (offense): blueberry.baumkuchen.hp factor=0.9603 delta=0.0 | raspberry.tart.cost factor=0.9281 delta=0.0 | raspberry.tart.hp factor=1.0568 delta=0.0 | raspberry.tart.speed factor=1.031 delta=0.0 | raspberry.tart.cooldown factor=0.9748 delta=0.0 | raspberry.tart.power factor=1.0981 delta=0.0 | raspberry.tart.range factor=1.0325 delta=0.0 | raspberry.tart.area factor=1.0465 delta=0.0
5,0.203447,0.625,0.375,0.6724,171.1093,soft nerf blueberry.baumkuchen.speed + rework raspberry.tart (balanced): blueberry.baumkuchen.speed factor=0.9651 delta=0.0 | raspberry.tart.cost factor=0.9193 delta=0.0 | raspberry.tart.hp factor=1.0774 delta=0.0 | raspberry.tart.speed factor=1.0361 delta=0.0 | raspberry.tart.cooldown factor=0.97 delta=0.0 | raspberry.tart.power factor=1.0671 delta=0.0 | raspberry.tart.range factor=1.0217 delta=0.0 | raspberry.tart.area factor=1.031 delta=0.0
6,0.250283,0.2916,0.7084,-0.359,172.2972,soft nerf blueberry.baumkuchen.speed + rework raspberry.tart (tempo): blueberry.baumkuchen.speed factor=0.9651 delta=0.0 | raspberry.tart.cost factor=0.9064 delta=0.0 | raspberry.tart.hp factor=1.0568 delta=0.0 | raspberry.tart.speed factor=1.0619 delta=0.0 | raspberry.tart.cooldown factor=0.9556 delta=0.0 | raspberry.tart.power factor=1.0568 delta=0.0 | raspberry.tart.range factor=1.0181 delta=0.0 | raspberry.tart.area factor=1.0258 delta=0.0
