iteration,candidate,raspberry_win_rate,blueberry_win_rate,avg_final_control,score,accepted
3,blueberry.pannacotta.cost factor=1.25 delta=0.0,0.55,0.45,0.3818,0.0818,False
3,blueberry.pannacotta.area factor=0.75 delta=0.0,0.35,0.65,-0.2364,0.1697,False
3,raspberry.tart.power factor=1.2 delta=0.0,0.85,0.15,1.8261,0.5022,False
3,raspberry.tart.hp factor=1.18 delta=0.0,0.85,0.15,1.625,0.4854,False
3,raspberry.tart.speed factor=1.12 delta=0.0,0.55,0.45,0.1837,0.0653,False
3,raspberry.tart.cost factor=0.85 delta=0.0,1.0,0.0,2.7143,0.7262,False
3,raspberry.tart.area factor=1.2 delta=0.0,0.4,0.6,0.0545,0.1045,False
3,raspberry.pie.power factor=1.2 delta=0.0,0.25,0.75,-1.0385,0.3365,False
3,raspberry.pie.hp factor=1.18 delta=0.0,1.0,0.0,3.0,0.75,False
3,raspberry.pie.speed factor=1.12 delta=0.0,0.0,1.0,-1.0,0.5833,False
3,raspberry.pie.cost factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
3,raspberry.scone.power factor=1.2 delta=0.0,0.45,0.55,-0.3125,0.076,False
3,raspberry.scone.hp factor=1.18 delta=0.0,1.0,0.0,3.0,0.75,False
3,raspberry.scone.speed factor=1.12 delta=0.0,0.15,0.85,-1.44,0.47,False
3,raspberry.scone.cost factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
3,blueberry.tarte_tatin.speed factor=0.85 delta=0.0,0.45,0.55,0.1636,0.0636,True
