rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.367683,0.5,0.5,-0.1805,175.2292,0.577708,1.84635,0.69645,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9881 delta=0.0 | blueberry.pannacotta.cost factor=0.9749 delta=0.0 | blueberry.pannacotta.hp factor=1.0189 delta=0.0 | blueberry.pannacotta.speed factor=1.0103 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9915 delta=0.0 | blueberry.pannacotta.power factor=1.0326 delta=0.0 | blueberry.pannacotta.range factor=1.0108 delta=0.0 | blueberry.pannacotta.area factor=1.0154 delta=0.0
2,0.43833,0.5357,0.4642,0.1571,175.0143,0.640502,1.67675,0.7857,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9881 delta=0.0 | blueberry.pannacotta.cost factor=0.9717 delta=0.0 | blueberry.pannacotta.hp factor=1.0257 delta=0.0 | blueberry.pannacotta.speed factor=1.012 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9898 delta=0.0 | blueberry.pannacotta.power factor=1.0223 delta=0.0 | blueberry.pannacotta.range factor=1.0072 delta=0.0 | blueberry.pannacotta.area factor=1.0103 delta=0.0
3,0.448072,0.5,0.5,-0.385,173.9913,0.671925,1.6159,0.83925,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.power factor=0.9831 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9717 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0257 delta=0.0 | blueberry.tarte_tatin.speed factor=1.012 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9898 delta=0.0 | blueberry.tarte_tatin.power factor=1.0223 delta=0.0 | blueberry.tarte_tatin.range factor=1.0072 delta=0.0 | blueberry.tarte_tatin.area factor=1.0103 delta=0.0
4,0.4526,0.5357,0.4642,-0.2027,172.2162,0.65542,1.67345,0.8214,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0171 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9717 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0257 delta=0.0 | blueberry.tarte_tatin.speed factor=1.012 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9898 delta=0.0 | blueberry.tarte_tatin.power factor=1.0223 delta=0.0 | blueberry.tarte_tatin.range factor=1.0072 delta=0.0 | blueberry.tarte_tatin.area factor=1.0103 delta=0.0
5,0.471455,0.5357,0.4643,0.1505,170.8657,0.696994,1.5802,0.82145,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9865 delta=0.0 | blueberry.pannacotta.cost factor=0.9668 delta=0.0 | blueberry.pannacotta.hp factor=1.0189 delta=0.0 | blueberry.pannacotta.speed factor=1.0206 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9848 delta=0.0 | blueberry.pannacotta.power factor=1.0189 delta=0.0 | blueberry.pannacotta.range factor=1.006 delta=0.0 | blueberry.pannacotta.area factor=1.0086 delta=0.0
6,0.487466,0.4286,0.5714,-0.3349,174.4497,0.628324,1.70885,0.76785,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0171 delta=0.0 | blueberry.pannacotta.cost factor=0.9717 delta=0.0 | blueberry.pannacotta.hp factor=1.0257 delta=0.0 | blueberry.pannacotta.speed factor=1.012 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9898 delta=0.0 | blueberry.pannacotta.power factor=1.0223 delta=0.0 | blueberry.pannacotta.range factor=1.0072 delta=0.0 | blueberry.pannacotta.area factor=1.0103 delta=0.0
7,0.505618,0.6072,0.3928,0.2618,175.4004,0.613125,1.8122,0.76785,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0171 delta=0.0 | blueberry.pannacotta.cost factor=0.9668 delta=0.0 | blueberry.pannacotta.hp factor=1.0189 delta=0.0 | blueberry.pannacotta.speed factor=1.0206 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9848 delta=0.0 | blueberry.pannacotta.power factor=1.0189 delta=0.0 | blueberry.pannacotta.range factor=1.006 delta=0.0 | blueberry.pannacotta.area factor=1.0086 delta=0.0
8,0.542717,0.3928,0.6072,-0.4572,172.9286,0.636962,1.7708,0.8036,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9865 delta=0.0 | blueberry.pannacotta.cost factor=0.9749 delta=0.0 | blueberry.pannacotta.hp factor=1.0189 delta=0.0 | blueberry.pannacotta.speed factor=1.0103 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9915 delta=0.0 | blueberry.pannacotta.power factor=1.0326 delta=0.0 | blueberry.pannacotta.range factor=1.0108 delta=0.0 | blueberry.pannacotta.area factor=1.0154 delta=0.0
9,0.568961,0.6428,0.3572,0.0758,176.0758,0.69553,1.6276,0.83925,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (offense): blueberry.pie.power factor=0.9831 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9749 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0189 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0103 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9915 delta=0.0 | blueberry.tarte_tatin.power factor=1.0326 delta=0.0 | blueberry.tarte_tatin.range factor=1.0108 delta=0.0 | blueberry.tarte_tatin.area factor=1.0154 delta=0.0
10,0.571539,0.6072,0.3928,0.3656,177.6312,0.70281,1.55625,0.82145,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.power factor=0.9831 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9668 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0189 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0206 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9848 delta=0.0 | blueberry.tarte_tatin.power factor=1.0189 delta=0.0 | blueberry.tarte_tatin.range factor=1.006 delta=0.0 | blueberry.tarte_tatin.area factor=1.0086 delta=0.0
11,0.575706,0.6429,0.3571,0.4879,174.8802,0.626474,1.71805,0.76785,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9865 delta=0.0 | blueberry.pannacotta.cost factor=0.9717 delta=0.0 | blueberry.pannacotta.hp factor=1.0257 delta=0.0 | blueberry.pannacotta.speed factor=1.012 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9898 delta=0.0 | blueberry.pannacotta.power factor=1.0223 delta=0.0 | blueberry.pannacotta.range factor=1.0072 delta=0.0 | blueberry.pannacotta.area factor=1.0103 delta=0.0
